acrobatics,n. 杂技；巧妙手法
tomato sauce,"na. 番茄酱
 蕃茄酱；番茄沙司；番茄汁"
peanut butter,"n. 花生酱
 花生酱半杯；奶油花生；花生奶油"
sesame paste,"n. 芝麻酱
 芝麻糊；用芝麻作的酱；香港美食"
white fungus,"un. 银耳；白木耳
 百木耳；雪耳；白木耳杂志"
black fungus, 黑木耳；木耳；干燥黑木耳
assorted pickles,什锦腌菜，什锦酱菜
colas,n. 沥青乳浊液，沥青乳胶体; 可乐果树( cola的名词复数 ); 可乐饮料
soda water,"n. 汽水；苏打水；一杯汽水
 苏打汽水；梳打水；零卡苏打水"
pop,abbr. 卖点广告（Point of Purchase）
lemonade,n. 柠檬水
lemon juice, 柠檬汁；柠檬原汁；柠檬汁代替
hot drink, 热饮；热饮类；热饮料
cold drink,"n. 冷饮
 清凉饮料；冷饮冰点；怡情冷饮"
alcoholic drink, 酒；酒精饮料；含酒精的饮料
non-alcoholic drink,找不到解释
fruit juice,"na. 果子汁
 果汁；水果汁；什果汁"
soda water,"n. 汽水；苏打水；一杯汽水
 苏打汽水；梳打水；零卡苏打水"
tonic water,"un. 奎宁水
 汤力水；通宁水；汤力汽水"
Coca-Cola,n. 可口可乐（美国饮料公司）
Pepsi-Cola,找不到解释
soft drink,"n. 软饮料（不含酒精）
 汽水；软性饮料；清凉饮料"
mineral water,"n. 矿泉水；一杯（或一瓶）矿泉水
 矿水；矿质水；矿物水"
pure water,"un. 纯水
 纯净水；纯化水；纯水的人"
orange juice,"un. 柑桔汁；橙汁
 柳橙汁；橘子汁；桔子原汁"
jasmine tea,"n. 茉莉花茶
 香片；茉莉香片；香片茶"
green tea,"n. 绿茶
 抹茶；绿茶香水；绿茶女性香水"
black tea,"na. 红茶
 黑茶；指的是红茶而非黑茶；英国红茶"
Nestle coffee,雀巢咖啡
beer,"n. 啤酒
vi. 喝啤酒"
ale,n. 麦芽酒
alcohol,n. 酒精，乙醇
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
champagne,n. 香槟酒；香槟酒色
spirits,"n. 态度（spirit的复数）；精力
v. 使振作（spirit的第三人称单数形式）"
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
whisky,"n. 威士忌酒
adj. 威士忌酒的"
vodka,n. 伏特加酒
brandy,n. 白兰地酒
cocktail,"n. 鸡尾酒；开胃食品
n. 混合物
adj. 鸡尾酒的"
cognac,n. 法国白兰地
gin,"n. 杜松子酒；网； 三角起重机
vi. 喝杜松子酒； 用陷阱(或网)捕捉，诱捕(猎物)"
martini,n. 马提尼（一种鸡尾酒，等于Martini）
rice wine,"un. 米酒
 黄酒；加饭酒；料酒"
red wine,"n. 红葡萄酒；一杯红葡萄酒
 红酒；干红葡萄酒；酒红色"
white wine,"n. 白葡萄酒；浅黄色果酒；一杯白葡萄酒
 白酒；干白葡萄酒；白葡萄酒杯"
shaohsing wine,n. 绍兴酒
yellow wine, 黄酒；黄酒类；黄酒系列
Kaoliang spirit,n. 高粱酒
cutlery,n. 餐具；刀剑制造业
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击"
teaspoon,n. 茶匙；一茶匙的量
soupspoon,n. 汤匙
chopsticks,n. 筷子
ladle,"vt. 不分对象予以赠送；以杓舀取
n. 钢水包；杓子；长柄杓"
casserole,"n. 勺皿；砂锅菜；餐桌上用有盖的焙盘
vi. 用焙盘焙"
teapot,"n. 茶壶
小题大做"
teacup,n. 茶碗，茶杯；一茶杯容量；心理极其脆弱、不堪一击的人
funnel,"n. 漏斗；烟囱
vt. 通过漏斗或烟囱等；使成漏斗形
vi. 通过漏斗等；成漏斗形"
frying pan,"n. 长柄平底煎锅
 平底锅；炒锅；炒菜锅"
chopping board,"n. 菜板；砧板；切菜板
 案板；切菜的砧板；塑料菜板"
seaside,"n. 海边；海滨
adj. 海边的；海滨的"
mainland,"n. 大陆；本土
adj. 大陆的；本土的"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
destination,n. 目的地，终点
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
prosperous,adj. 繁荣的；兴旺的
transportation,n. 运输；运输系统；运输工具；流放
civilization,n. 文明；文化
scenic spots, 景点；旅游景点；风景名胜
historical sights,找不到解释
artificial scenery,找不到解释
natural landscape,天然景观
miniature landscape,盆景
holiday camp,"n. 度假营地（提供膳宿和娱乐活动）
 度假村；假日营；渡假营"
camping resort,找不到解释
seaside resort,"un. 海滨疗养地
 海滨胜地；海边度假村；海滨度假酒店"
public beach,找不到解释
private beach,找不到解释
sand beach,"un. 沙滩海岸
 海滨沙滩；沙子海滩；拖鞋沙滩"
natural beauties,找不到解释
famous resort,找不到解释
natural scene,自然景物
gentle breeze,"na. 微风(三级风)
 微风之恋；蒲福三级风；和风"
spectacular thing,找不到解释
fragrance of flowers,找不到解释
foreign exchange,"n. 外汇；外汇市场；国际汇兑；外币兑换处
 外汇交易；国外汇兑；国际交换生"
broaden one's view,找不到解释
cultures and customs,找不到解释
pleasant surprise,找不到解释
holiday inn,"un. 假日旅店(美国联营旅馆业之一)；假日旅馆
 假日酒店；假日饭店；假日酒店集团"
develop the economy,找不到解释
be spoiled,找不到解释
various activities,找不到解释
go to the seaside,找不到解释
enjoy barbeque,找不到解释
beach volleyball,"n. 沙滩排球
 沙滩排球运动；沙滩排球场；海滩排球"
go climbing, 去爬山；去登山；去等山
go boating,"na. 乘船游玩
 去划船；泛舟；去滑船"
lie on the beach,找不到解释
enjoy the sunshine,找不到解释
enjoy the flowers blooming,找不到解释
energetic and sunny,找不到解释
go to the countryside,找不到解释
organic food, 有机食品；有机食物；绿色食品
have fun,"na. 作乐
 玩得开心；玩得高兴；玩的开心"
go camping, 去野营；去露营；宿营
go for a trip, 去旅行；短途旅行；旅游
stay in the hut,找不到解释
listen to the chirping of birds,找不到解释
go outing,"去远足,去郊游"
construction style,找不到解释
minority nationalities, 少数民族
colorful nightlife,找不到解释
enjoy entertainment,找不到解释
emotion,n. 情感；情绪
clothes,n. 衣服
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
gadget,n. 小玩意；小器具；小配件；诡计
feeling and concern,找不到解释
flowers or cosmetics,找不到解释
pack gifts elegantly,找不到解释
supermarket,n. 超级市场；自助售货商店
hypermarket,n. 大规模超级市场
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
kiosk,n. 凉亭；公用电话亭；报摊
boutique,"n. 精品店；专卖流行衣服的小商店
adj. 精品屋的；小规模专售精品的"
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
bazaar,n. 集市；市场；义卖市场
auction,"n. 拍卖
vt. 拍卖；竞卖"
florist,n. 花商，种花人；花卉研究者
shopper,n. 购物者；顾客
customer,n. 顾客；家伙
shopkeeper,n. 店主，老板
salesman,n. 推销员；售货员
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
shelf,n. 架子；搁板；搁板状物；暗礁
trolley,"n. 手推车；（美）有轨电车（等于trolley car）；（英）无轨电车（等于trolleybus）；空中吊运车
vt. 用手推车运
vi. 乘电车"
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
sportswear,n. 运动装；休闲服
yogurt,n. 酸奶酪， 酸乳（等于yoghurt）
shampoo,"n. 洗发；洗发精
vt. 洗发"
department store,"n. 百货公司；大百货商店
 百货商场；百货店；百货大楼"
chain store,"n. 连锁商店
 连锁店；联号；连锁经营"
shopping center,"un. 购物中心；商业中心
 商场；大型购物中心；购物商场"
dry goods,"n. 纺织品；干货；干的物品
 谷物；匹头；纺织品谷物"
hardware store,"n. 五金店
 五金行；五金商店；五金仓"
window shopping,"n. 逛街
 橱窗购物；逛商店；流行橱窗"
bargain shopping,找不到解释
shopping day,找不到解释
shopping list,"n. 购物单；采购单
 购物清单；采购清单；购物列表"
shopping bag,"n. 购物袋；（纸或塑料的）购物袋
 购物包；采购用纸袋；购物车"
shopping basket,"n. 购物篮
 购物筐；提篮；购物篮子"
shop assistant,"n. 店员；售货员
 营业员；商店里的店员；店务助理"
cash-desk,n. 收款台
checkout,n. 检验；签出；结账台；检出
a waste of time, 浪费时间；时间的浪费；消耗时间
ask for advice, 寻求建议；求教；征求建议
sunflower seeds, 葵花籽；葵花子；瓜子
shopping mall,"un. 商业区林荫路
 购物中心；大型购物中心；商场"
sales assistants, 售货员；全职售货员
promote products,找不到解释
lower prices, 降低价格；降价；较低价格
latest information, 最新资讯；最新信息；最新消息
digital camera,"na. 数码照相机
 数码相机；数位相机；数字相机"
post-sale service,找不到解释
cute and fashionable,找不到解释
living standard,"n. 生活水平
 生活标准；生活水准；生活质素"
various brands,找不到解释
shop assistants,"na. 店员
 店舖仓务助理"
indifferent and arrogant,找不到解释
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
expensive,adj. 昂贵的；花钱的
costly,adj. 昂贵的；代价高的
cheap,"adj. 便宜的；小气的；不值钱的
adv. 便宜地"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
inexpensive,adj. 便宜的
economical,adj. 经济的；节约的；合算的
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
precious,adj. 宝贵的；珍贵的；矫揉造作的
priceless,"n. 非卖品
adj. 无价的；极贵重的；非常有趣的"
a bargain,"na. 便宜
 便宜货；物美价廉；就这么说定了"
reduced price,"un. 折扣价格
 处理价；减价；削价"
bargain price,"un. 廉价；交易价格
 特价；处理价格；对买主有利的价格"
sell at a high price,找不到解释
sell at a low price,低价出售
give full weight,找不到解释
give short weight,"na. 骗秤头
 短斤缺两；克扣分量；缺斤短两"
reputation,n. 名声，名誉；声望
strict with the employees,找不到解释
make efforts,"na. 努力作出
 做出努力；作出努力；为……而努力"
set some policies,找不到解释
monitor or guide the development of the commerce,找不到解释
global view, 全球视野；全局视图；全球观点
get better service,找不到解释
make a complaint, 抱怨；投诉；提出投诉
have more customers,找不到解释
negative effect,"n. 消极作用
 负磁力效应；负面影响；负效应"
make rules and regulations for their employees,找不到解释
be supervised,找不到解释
trivial mistake,找不到解释
patience and special strategies,找不到解释
mechanic products,找不到解释
assembly line,"na. 装配线
 组装线；流水线；生产线"
tolerate the bad service,找不到解释
strict law, 严格法；严格律则；铁的法律
mistreat consumers,找不到解释
guarantee their products,找不到解释
showcase,"n. 陈列橱， 陈列柜；显示优点的东西
vt. 使展现；在玻璃橱窗陈列"
grocer,n. 杂货店；食品商
greengrocer,n. 蔬菜水果商；菜贩
baker,n. 面包师；面包工人；（便携式）烘炉
tobacconist,n. （主英）烟草商；烟草制品零售商
pharmacist,n. 药剂师
drugstore,n.  药房（常兼售化妆品、杂志等杂货）；（美）杂货店
shop front,"n. 铺面
 店面；门面；商店的门面"
shop window,"n. 商店橱窗
 窗口"
sweet shop,"na. 糖果铺
 糖果店；糖果商店；一家糖果店"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
counterfeit goods, 假货；冒牌货品；冒牌商品
glassware,n. 玻璃器皿；玻璃器具类
enamelware,n. 搪瓷炊具，搪瓷器具
stationery,n. 文具；信纸
camera,n. 照相机；摄影机
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
lighter,"n. 打火机；驳船；点火者
vt. 驳运
adj. 明亮的；光明的；照明好的；光线充足的"
flower vase,"n. 花瓶
 花栏和花瓶；印度花瓶；花花瓶"
gloves,"n.  手套（glove的复数）
v. 给…戴手套（glove的三单形式）"
mitten,n. 露指手套；连指手套
umbrella,n. 雨伞；保护伞；庇护；伞形结构
raincoat,n. （美）雨衣
needle,"n. 针；指针；刺激；针状物
vi. 缝纫；做针线
vt. 刺激；用针缝"
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
refrigerator,n. 冰箱，冷藏库
fridge,n. 电冰箱
torch,"n. 火把，火炬；手电筒；启发之物
vt. 用火炬点燃
vi. 像火炬一样燃烧"
flashlight,n. 手电筒；闪光灯
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
rug,n. 小地毯；毛皮地毯；男子假发
mat,"n. 垫；垫子；衬边
vt. 缠结；铺席于……上
vi. 纠缠在一起
adj. 无光泽的"
thermometer,n. 温度计；体温计
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
detergent,n. 清洁剂；去垢剂
washboard,"n. （美）搓板；高低不平的路面；防波板
adj. 搓板状的；崎岖不平的"
pail,n. 桶，提桶
hairdryer,n. 吹风机
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
lipstick,"n. 口红；唇膏
vt. 涂口红
vi. 涂口红"
eyeliner,n. 眼线膏，眼线笔
hairdye,n. 染发药水
bathrobe,n. 浴衣；睡衣
bathtub,n. 浴缸
towel,"n. 毛巾，手巾； 纸巾
vi. 用毛巾擦干身体
vt. 用毛巾擦"
toothbrush,n. 牙刷
toothpaste,n. 牙膏
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
swimsuit,n. 游泳衣（女式）
life buoy,"na. 救生圈
 带索救生圈；救生圈的英文；救生圈l"
suitcase,n.  手提箱；衣箱
stainless,adj. 不锈的；纯洁的，未被玷污的；无瑕疵的
stationer,n. 文具店；文具商
paintbrush,n. 画笔；漆刷
crayon,"n. 蜡笔，有色粉笔
vt. 以蜡笔作画，用颜色粉笔画"
notebook,n. 笔记本，笔记簿；手册
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
abacus,n. 算盘
calculator,n. 计算器；计算者
pin,"n. 大头针，别针，针；栓；琐碎物
vt. 钉住；压住；将……用针别住"
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
stapler,n.  订书机；主要商品批发商；把羊毛分级的人
hourglass,n. 沙漏；水漏
sandglass,n. 沙漏
sundial,n. 日晷，日规；羽扇豆（产于美国东部）
chronometer,n.  精密记时表；高度精确的钟表；航海经线仪
stopwatch,"n. 码表；跑表
vt. 用秒表测定时间"
timer,n.  定时器；计时器；计时员，记时员；跑表；延时调节器
pendulum,n. 钟摆；摇锤；摇摆不定的事态
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
latch,"vi. 占有，抓住；闭锁
vt. 闩上；纠缠住某人
n. 门闩"
keyhole,"n. 锁眼； 键孔
adj. 显示内情的"
knob,"n. 把手；瘤；球形突出物
vi. 鼓起
vt. 使有球形突出物"
pliers,n. 钳子；老虎钳（plier的复数形式）
saw,"n. 锯子；谚语
v. see的过去式
vi. 锯；用锯；将某物锯成小块
vt. 看见；明白，了解；锯；锯成；锯开"
