disastrous,adj. 灾难性的；损失惨重的；悲伤的
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
album,n. 相簿；唱片集；集邮簿；签名纪念册
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
liquor,"n. 酒，含酒精饮料；溶液；液体；烈酒
vi. 喝酒，灌酒
vt. 使喝醉"
disappoint,vt. 使失望
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
negotiation,n. 谈判；转让；顺利的通过
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
imply,vt. 意味；暗示；隐含
hoist,"n. 起重机；升起，吊起
vt. （用绳索，起重机等）使升起
vi. 升起；吊起"
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
aspect,n. 方面；方向；形势；外貌
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
breadth,n. 宽度，幅度；宽宏
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
diverse,adj. 不同的；多种多样的；变化多的
tremendous,adj. 极大的，巨大的；惊人的；极好的
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
indicate,vt. 表明；指出；预示；象征
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
notorious,adj. 声名狼藉的，臭名昭著的
uphold,vt. 支撑；鼓励；赞成；举起
significance,n. 意义；重要性；意思
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
competitive,adj. 竞争的；比赛的；求胜心切的
liability,n. 责任；债务；倾向；可能性；不利因素
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
comply,vi. 遵守；顺从，遵从；答应
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
analyse,vt. 分析；分解；细察
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
route,"n. 路线；航线；通道
vt. 按某路线发送"
recede,"vi. 后退；减弱
vt. 撤回"
dart,"vt. 投掷，投射；使迅速突然移动
vi. 向前冲，飞奔
n. 飞镖，标枪；急驰，飞奔；（虫的）螯；飞快的移动"
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
solidarity,n. 团结，团结一致
provocative,"n. 刺激物，挑拨物；兴奋剂
adj. 刺激的，挑拨的；气人的"
grim,adj. 冷酷的；糟糕的；残忍的
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
illicit,adj. 违法的；不正当的
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
luminous,adj. 发光的；明亮的；清楚的
dole,"n. 失业救济金；赈济物；施舍品
vt. 发放救济；以小份发给"
magistrate,n. 地方法官；文职官员；治安推事
pact,n. 协定；公约；条约；契约
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
humidity,n.  湿度；湿气
eradicate,vt. 根除，根绝；消灭
aesthetics,n. 美学；美的哲学
resultant,"n. 合力；结果； 生成物
adj. 结果的；合成的"
victorious,adj. 胜利的；凯旋的
arrogant,adj. 自大的，傲慢的
hitherto,adv. 迄今；至今
pastry,n. 油酥点心；面粉糕饼
accountancy,n. 会计工作；会计学；会计师之职
plight,"n. 困境；境况；誓约
vt. 保证；约定"
bumper,"n. 缓冲器，保险杆，减震物
adj. 丰盛的，丰富的
vt. 装满；为…祝酒
vi. 干杯"
biotechnology,n.  生物技术； 生物工艺学
hereby,adv. 以此方式，据此；特此
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
predominate,"vt. 支配，主宰；在…中占优势
vi. 占主导（或支配）地位；占优势"
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
abreast,"adj. 并排的；肩并肩的
adv. 并肩地；并列"
grandchild,n. 孙子；孙女；外孙；外孙女
encyclopaedia,n. 百科全书
crocodile,n. 鳄鱼
gospel,"n. 真理；信条
adj. 传播福音的；福音赞美诗的"
mindset,n. 心态；倾向；习惯；精神状态
greed,n. 贪婪，贪心
plaintiff,n. 原告
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
snob,n. 势利小人，势利眼；假内行
wilderness,n. 荒地；大量，茫茫一片
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
ape,"n.  猿；傻瓜；模仿者
vt. 模仿；抢台词
adj. 狂热的"
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
etiquette,n. 礼节，礼仪；规矩
ail,"n. 病痛，苦恼
vi. 生病
vt. 使苦恼，使烦恼"
detriment,n. 损害；伤害；损害物
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
monarchy,n. 君主政体；君主国；君主政治
knowhow,n. 诀窍，技巧；情报；实际的能力；专门技术
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
cyberspace,n. 网络空间；赛博空间
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
forbid,vt. 禁止；不准；不允许；严禁
generalise,"vi. 推广；笼统地讲；概括（等于generalize）
vt. 概括；归纳；普及"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
definite,adj. 一定的；确切的
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
folklore,n. 民俗学；民间传说；民间风俗
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
exist,vi. 存在；生存；生活；继续存在
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
mainstream,n. 主流
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
prove,"vi. 证明是
vt. 证明；检验；显示"
chaotic,adj. 混沌的；混乱的，无秩序的
permission,n. 允许，许可
limit,"n. 限制；限度；界线
vt. 限制；限定"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
transaction,n. 交易；事务；办理；会报，学报
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
humanity,n. 人类；人道；仁慈；人文学科
trivial,adj. 不重要的，琐碎的；琐细的
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
primarily,adv. 首先；主要地，根本上
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
confidential,adj. 机密的；表示信任的；获信任的
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
adapt,"vi. 适应
vt. 使适应；改编"
portray,vt. 描绘；扮演
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
skilful,adj. 灵巧的; 熟练的; 技术好的
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
additive,"n. 添加剂，添加物
adj. 附加的； 加法的"
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
furnish,vt. 提供；供应；装备
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
economic,adj. 经济的，经济上的；经济学的
seemingly,adv. 看来似乎；表面上看来
refute,vt. 反驳，驳斥；驳倒
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
obstacle,n. 障碍，干扰；妨害物
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
naive,"adj. 天真的,幼稚的"
robust,adj. 强健的；健康的；粗野的；粗鲁的
malpractice,n. 玩忽职守；不法行为；治疗不当
appraise,vt. 评价，鉴定；估价
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
academician,n. 院士；大学生；学会会员；大学教师
defective,"n. 有缺陷的人；不完全变化词
adj. 有缺陷的；不完美的"
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
formality,n. 礼节；拘谨；仪式；正式手续
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
stray,"n. 走失的家畜；流浪者
adj. 迷路的；离群的；偶遇的
vi. 流浪；迷路；偏离"
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
interrogation,n. 讯问；审问； 疑问句
minimal,adj. 最低的；最小限度的
scenario,n. 方案；情节；剧本；设想
ideological,adj. 思想的；意识形态的
distracted,"adj. 心烦意乱的；思想不集中的
v. 分心（distract的过去式）"
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
inertia,n.  惯性；惰性，迟钝；不活动
ivory,"n. 象牙；乳白色；长牙
adj. 乳白色的；象牙制的"
prone,adj. 俯卧的；有…倾向的，易于…的
tutorial,"n. 个别指导
adj. 辅导的；家庭教师的，个别指导的"
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
devour,v. 吞食；毁灭
crave,"vi. 渴望；恳求
vt. 渴望；恳求"
dissent,"n. 异议；（大写）不信奉国教
vi. 不同意；不信奉国教"
haven,"n. 港口；避难所，安息所
vt. 为……提供避难处；安置……于港中"
upload,vt. 上传
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
poise,"n. 平衡；姿势；镇静
vi. 平衡；准备好；悬着
vt. 使平衡；保持...姿势"
buddy,"n. 伙伴，好朋友；密友；小男孩
vi. 做好朋友，交朋友"
buckle,"n. 皮带扣，带扣
vi. 扣住；变弯曲
vt. 扣住；使弯曲"
warrior,n. 战士，勇士；鼓吹战争的人
bass,"n. 鲈鱼；男低音；低音部；椴树
adj. 低音的"
chef,n. 厨师，大师傅
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
fingerprint,"n. 指纹；手印
vt. 采指纹"
aristocrat,n. 贵族
inmate,n. (尤指)同院病人；同狱犯人；同被(收容所)收容者
intake,n. 摄取量；通风口；引入口；引入的量
zoology,n. 动物学，动物学课程; （某一地区的）全部动物，（某种动物的）动物特性
loophole,n. 漏洞；枪眼；换气孔；射弹孔
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
