source,n. 来源；水源；原始资料
gland,"n. 腺
密封压盖"
girder,n.  大梁，纵梁
gibbon,n.  长臂猿
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
fodder,"n. 饲料；素材
vt. 喂"
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
fleece,"n. 羊毛，绒头织物；羊毛制的覆盖物
vt. 剪下羊毛；欺诈，剥削"
flax,n. 亚麻；亚麻纤维；亚麻布；亚麻织品
fern,n.  蕨； 蕨类植物
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
exuberant,adj. 繁茂的；生气勃勃的，充溢的
extermination,n. 消灭；根绝
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
execution,n. 执行，实行；完成；死刑
excitation,n. 激发，刺激；激励；激动
ether,n. 乙醚； 以太；苍天；天空醚
estate,n. 房地产；财产；身份
epitome,n. 缩影；摘要；象征
encroach,vi. 蚕食，侵占
encase,vt. 包住；围绕；包装
embed,vt. 栽种；使嵌入，使插入；使深留脑中
elongate,"adj. 伸长的；延长的
vi. 拉长；延长；伸长
vt. 拉长；使延长；使伸长"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
edition,"n. 版本
版次
集"
earthenware,n. 陶器；土器
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
detach,vt. 分离；派遣；使超然
despondent,adj. 沮丧的；失望的
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
demise,"n. 死亡，终止；转让；传位
vt. 遗赠；禅让"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
dehydrate,"vt. 使…脱水；使极其口渴；使丧失力量和兴趣等
vi. 脱水；去水"
decoy,"n. 诱饵；诱骗
vt. 诱骗
vi. 被诱"
decomposition,n. 分解，腐烂；变质
decompose,"vi. 分解；腐烂
vt. 分解；使腐烂"
deciduous,adj. 落叶性的，脱落性的；非永久性的
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
cue,"n. 提示，暗示；线索
vt. 给…暗示"
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
cotta,n. 白色短袖法衣（教士穿）；白色短衣（诗班成员穿）
corpse,n. 尸体
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contour,"n. 轮廓；等高线；周线；电路；概要
vt. 画轮廓；画等高线"
constitute,vt. 组成，构成；建立；任命
comprise,vt. 包含；由…组成
communal,adj. 公共的；公社的
commonsense,adj. 常识的；具有常识的
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
celsius,"n. 摄氏度
adj. 摄氏的"
celestial,"n. 神仙，天堂里的居民
adj. 天上的，天空的"
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
calcareous,"n. 钙化软骨
adj. 钙质的，石灰质的"
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
bushy,adj. 浓密的；灌木茂密的；多毛的
bison,n. 北美野牛；欧洲野牛
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
bemoan,"vt. 惋惜；为…恸哭
vi. 叹息"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
beast,n. 野兽；畜生，人面兽心的人
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
barter,"n. 易货贸易；物物交换；实物交易
vt. 以…作为交换；拿…进行易货贸易
vi. 进行易货贸易； 作物物交换；讨价还价"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
backdrop,n. 背景；背景幕；交流声
automated,"adj. 自动化的；机械化的
v. 自动化（automate的过去分词）；自动操作"
auditorium,n. 礼堂，会堂；观众席
attest,"vt. 证明；证实；为…作证
vi. 证明；作证"
assure,vt. 保证；担保；使确信；弄清楚
arousal,n. 觉醒；激励
arduous,adj. 努力的；费力的；险峻的
aqueduct,n.  渡槽；导水管；沟渠
antenna,n.  天线； 触角， 触须
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
alkaloid,n.  生物碱；植物碱基
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
approval,n. 批准；认可；赞成
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
ascent,n. 上升；上坡路；登高
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
beside,prep. 在旁边；与…相比；和…无关
in addition to,"na. 加之
 除…之外；除了；除…外"
preoccupation,n. 全神贯注，入神；当务之急；关注的事物；抢先占据；成见
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
autonomy,n. 自治，自治权
independence,n. 独立性，自立性；自主
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
scattered,adj. 分散的；散乱的
deficiency,n. 缺陷，缺点；缺乏；不足的数额
shortage,n. 缺乏，缺少；不足
emerging,"v. 形成；浮现；显露（emerge的ing形式）；由…中脱出
adj. 新兴的；出现的；形成的"
appearing,"n.  版面高度
v. 出现，显得（appear的ing形式）"
pioneering,adj. 首创的；先驱的
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
distinct,adj. 明显的；独特的；清楚的；有区别的
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
enabling,"v. 使能够；授权给（enable的现在分词）
adj. 授权的"
allowing,v. 允许（allow的现在分词）
restricted,"v. 限制（restrict的过去式和过去分词）
adj. 受限制的；保密的"
limited,"adj. 有限的
n. 高级快车"
severity,n. 严重；严格；猛烈
harshness,n. 严肃；刺耳；粗糙的事物
congregate,"vi. 聚集
adj. 集合在一起的
vt. 聚集"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
consequently,adv. 因此；结果；所以
as a result,"adv. 结果
 因此；结果是；作为结果"
comprise,vt. 包含；由…组成
consist of,"v. 由…合成
 由……组成；由…构成；包括"
stagnation,n. 停滞；滞止
lack of growth,
sustained,"v. 维持（sustain的过去式和过去分词）；承受
adj. 持续的；持久的；持久不变的"
continued,"v. 继续；逗留；维持原状（continue的过去分词）
adj. 继续的；持久的"
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
consequence,n. 结果；重要性；推论
exclusively,adv. 唯一地；专有地；排外地
solely,adv. 单独地，唯一地
monumental,adj. 不朽的；纪念碑的；非常的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
manipulate,vt. 操纵；操作；巧妙地处理；篡改
skillfully use,
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
subsistence,n. 生活；生存；存在
survival,n. 幸存，残存；幸存者，残存物
altered,"n. 为参加短程高速汽车赛而改装的赛车
v. 改变（alter的过去分词）
adj. 改变了的；蚀变的"
transformed,transform的变形
emitted,"v. 排放（emit的过去分词）；发散
adj. 射出的"
released,v. 释放（release的过去式）；已发布
retarding,v. 使减速( retard的现在分词 ); 妨碍; 阻止; 推迟
slowing,"n. 放慢；减速；慢化
v. 放慢；阻碍（slow的ing形式）"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
expose,vt. 揭露，揭发；使曝光；显示
unprotected,"v. 无保护（unprotect的过去分词）
adj. 无保护的；未设防的；不受关税保护的"
congestion,n. 拥挤；拥塞；淤血
overcrowding,"n. 过度拥挤；挤满
v. 过度拥挤（overcrowd的ing形式）；把…塞得过满"
being a drain on the tree,
wasting a tree's resources,
pioneered,v. 倡导；作先驱（pioneer的过去式）
introduced,"v. 介绍；引进（introduce的过去分词）
adj. 引进的；引种的"
subsequent,adj. 后来的，随后的
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的"
enhance,vt. 提高；加强；增加
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
strength,n. 力量；力气；兵力；长处
profound,adj. 深厚的；意义深远的；渊博的
intense,adj. 强烈的；紧张的；非常的；热情的
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
 过期；过期的；过时了"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
little known, 不为人知的; 名不见经传
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
encompass,vt. 包含；包围，环绕；完成
include,vt. 包含，包括
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
unmoving,adj. 不感动人的；静止的
hence,adv. 因此；今后
therefore,adv. 因此；所以
irreversible,adj. 不可逆的；不能取消的；不能翻转的
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
aberrant,adj. 异常的；畸变的；脱离常轨的；迷乱的
abnormal,adj. 反常的，不规则的；变态的
abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
not concrete,
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
ridiculous,adj. 可笑的；荒谬的
accessible,adj. 易接近的；可进入的；可理解的
easy to reach,
abundant,adj. 丰富的；充裕的；盛产
ample,adj. 丰富的；足够的；宽敞的
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
unexpected,adj. 意外的，想不到的
afford,vt. 给予，提供；买得起
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
accomplish,vt. 完成；实现；达到
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
accumulate,"vt. 积攒
vi. 累积；积聚"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
aggravate,vt. 加重；使恶化；激怒
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
accurately,adv. 精确地，准确地
correctly,adv. 正确地；得体地
adept,"n. 内行；能手
adj. 熟练的；擅长…的"
skilled,adj. 熟练的；有技能的；需要技能的
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
ancestor,n. 始祖，祖先；被继承人
forefather,n. 祖先；前辈
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
hold in place, 使固定；固定就位；保持在适当的位置
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
attachment,n. 附件；依恋；连接物；扣押财产
preference,n. 偏爱，倾向；优先权
attest to, 证实；证明；证实某事
confirm,vt. 确认；确定；证实；批准；使巩固
attribute,"n. 属性；特质
vt. 归属；把…归于"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
credit with,"na. 把(某数)记入(某人)账户的贷方；相信(某人)具有(某性质)
 把…记入贷方；信用与；相信有"
available,adj. 可获得的；可购得的；可找到的；有空的
obtainable,adj. 能得到的
pondered,v. 考虑( ponder的过去式和过去分词 ); 深思熟虑; 沉思; 琢磨
thought about, 考虑；想到
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
basic,"n. 基础；要素
adj. 基本的；基础的"
mandated,"adj. 委托统治的
v. 托管；强制执行（mandate的过去分词）"
required,"v. 需要（require的过去式及过去分词形式）；要求
adj. 必需的；（美）必修的"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
encourage,vt. 鼓励，怂恿；激励；支持
signifying,"n. 代表；预示
v. 象徵；预示（signify的ing形式）"
indicate,vt. 表明；指出；预示；象征
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
stop,"n. 停止；车站；障碍；逗留
vi. 停止；中止；逗留；被塞住
vt. 停止；堵塞；断绝"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
allege,vt. 宣称，断言；提出…作为理由
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
