abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
fume,"n. 烟；愤怒，烦恼
vt. 熏；冒烟；愤怒地说
vi. 冒烟；发怒"
functional,adj. 功能的
furious,adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
fuss,"n. 大惊小怪，大惊小怪的人；小题大作；忙乱
vt. 使烦恼，使烦忧
vi. 小题大作；忙乱；焦燥；焦急；无事自扰"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
glorious,adj. 光荣的；辉煌的；极好的
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
hectare,n. 公顷（等于1万平方米）
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
hurricane,n. 飓风，暴风
hymn,"n. 赞美诗；圣歌；欢乐的歌
vt. 唱赞美歌
vi. 唱赞歌"
hypothesis,n. 假设
idiom,n. 成语，习语；土话
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
illusion,n. 幻觉，错觉；错误的观念或信仰
imaginative,adj. 富于想象的；有创造力的
imitate,vt. 模仿，仿效；仿造，仿制
inability,n. 无能力；无才能
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
interpretation,n. 解释；翻译；演出
jury,"n.  陪审团；评判委员会
adj. 应急的"
justification,n. 理由；辩护；认为有理，认为正当；释罪
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
lengthy,adj. 漫长的，冗长的；啰唆的
lighthouse,n. 灯塔
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
minimal,adj. 最低的；最小限度的
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
motivation,n. 动机；积极性；推动
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
nomination,n. 任命，提名；提名权
nostril,n. 鼻孔
null,"adj. 无效的，无价值的；等于零的
n. 零， 空"
origin,n. 起源；原点；出身；开端
outburst,n. （火山、情感等的）爆发；破裂
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
overt,adj. 明显的；公然的；蓄意的
patience,n. 耐性，耐心；忍耐，容忍
payable,adj. 应付的；到期的；可付的；可获利的
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
pole,
polish,
potent,adj. 有效的；强有力的，有权势的；有说服力的
practicable,adj. 可用的；行得通的；可实行的
practical,adj. 实际的；实用性的
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
precise,adj. 精确的；明确的；严格的
precursor,n. 先驱，前导
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
prefix,"n. 前缀
vt. 加前缀；将某事物加在前面"
pregnant,adj. 怀孕的；富有意义的
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
presentation,n. 展示；描述，陈述；介绍；赠送
preside,"vi. 主持，担任会议主席
vt. 管理"
prestige,n. 威望，声望；声誉
prestigious,adj. 有名望的；享有声望的
priority,n. 优先；优先权； 优先次序；优先考虑的事
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
profession,n. 职业，专业；声明，宣布，表白
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
projector,n.  投影仪；放映机；探照灯；设计者
radar,n.  雷达，无线电探测器
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
regional,adj. 地区的；局部的；整个地区的
respective,adj. 分别的，各自的
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
restrain,vt. 抑制，控制；约束；制止
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
retain,vt. 保持；雇；记住
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
rhythm,n. 节奏；韵律
ribbon,"n. 带；缎带；（勋章等的）绶带；带状物；勋表
vt. 把…撕成条带；用缎带装饰
vi. 形成带状"
riddle,"n. 谜语；粗筛；谜一般的人、东西、事情等
vt. 解谜；给...出谜；充满于
vi. 出谜"
ridiculous,adj. 可笑的；荒谬的
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
rigorous,adj. 严格的，严厉的；严密的；严酷的
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于"
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
shortage,n. 缺乏，缺少；不足
shortcut,n. 捷径；被切短的东西
soundproof,"adj. 隔音的
vt. 使隔音；给装以隔音设备"
specialise,"vt. 使专门化；限定…的范围；深入（等于specialize）
vi. 专门研究（等于specialize）"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
stability,n. 稳定性；坚定，恒心
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
subjective,adj. 主观的；个人的；自觉的
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
subsequent,adj. 后来的，随后的
subside,vi. 平息；减弱；沉淀；坐下
subsidise,vt. 给…津贴或补贴，资助或补助…
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
suburb,n. 郊区；边缘
successive,adj. 连续的；继承的；依次的；接替的
sue,"vt. 控告；请求
vi. 控告；提出请求"
sufficient,adj. 足够的；充分的
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
suitable,adj. 适当的；相配的
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
summon,vt. 召唤；召集；鼓起；振作
superb,adj. 极好的；华丽的；宏伟的
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
thirst,"n. 渴望；口渴；热望
vi. 渴望；口渴"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
tighten,"vt. 变紧；使变紧
vi. 绷紧；变紧"
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
transparent,adj. 透明的；显然的；坦率的；易懂的
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
tremendous,adj. 极大的，巨大的；惊人的；极好的
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
undergo,vt. 经历，经受；忍受
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
unify,vt. 统一；使相同，使一致
unnecessary,adj. 不必要的；多余的，无用的
unprecedented,adj. 空前的；无前例的
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
velocity,n. 速度
venerable,adj. 庄严的，值得尊敬的；珍贵的
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
vigorous,adj. 有力的；精力充沛的
virtue,n. 美德；优点；贞操；功效
virus,n.  病毒；恶毒；毒害
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
achievement,n. 成就；完成；达到；成绩
acknowledge,vt. 承认；答谢；报偿；告知已收到
acquaint,vt. 使熟悉；使认识
acquire,vt. 获得；取得；学到；捕获
acquisition,n. 获得物，获得；收购
available,adj. 可获得的；可购得的；可找到的；有空的
avenge,"vt. 替…报仇
vi. 报复，报仇"
avert,vt. 避免，防止；转移
aviation,n. 航空；飞行术；飞机制造业
awful,adj. 可怕的；极坏的；使人敬畏的
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
ballroom,n. 舞厅；跳舞场
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
comedy,n. 喜剧；喜剧性；有趣的事情
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
committee,n. 委员会
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
creativity,n. 创造力；创造性
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
criteria,n. 标准，条件（criterion的复数）
criticise,"vt. 批评；吹毛求疵；非难
vi. 批评；吹毛求疵；非难"
crossword,n. 纵横字谜；纵横填字谜（等于cross puzzle）
crucial,adj. 重要的；决定性的；定局的；决断的
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
cultivation,n. 培养；耕作；耕种；教化；文雅
cumbersome,adj. 笨重的；累赘的；难处理的
cumulative,adj. 累积的
currency,n. 货币；通货
curriculum,"n. 课程
总课程"
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
distribution,n. 分布；分配
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
drawback,n. 缺点，不利条件；退税
dreadful,adj. 可怕的；糟透的，令人不快的
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
drip,"n. 水滴，滴水声；静脉滴注；使人厌烦的人
vt. 使滴下；溢出，发出
vi. 滴下；充满；漏下"
drought,n. 干旱；缺乏
dual,"n. 双数；双数词
adj. 双的；双重的"
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
duration,"n. 持续，持续的时间，期间
音长，音延"
dwell,vi. 居住；存在于；细想某事
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
dynamics,n. 动力学，力学
elevator,n. 电梯；升降机；升降舵；起卸机
elude,vt. 逃避，躲避
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
embarrass,vt. 使局促不安；使困窘；阻碍
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
exclude,vt. 排除；排斥；拒绝接纳；逐出
extensive,adj. 广泛的；大量的；广阔的
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
extinction,n. 灭绝；消失；消灭；废止
extinguish,vt. 熄灭；压制；偿清
fort,"n. 堡垒；要塞；（美）边界贸易站
vt. 设要塞保卫
vi. 构筑要塞"
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
fury,n. 狂怒；暴怒；激怒者
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
injection,n. 注射；注射剂；充血；射入轨道
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
insolent,adj. 无礼的；傲慢的；粗野的；无耻的
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
instruct,vt. 指导；通知；命令；教授
interval,n. 间隔；间距；幕间休息
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
