have,"aux. 已经
vt. 有；让；拿；从事；允许"
excellent,adj. 卓越的；极好的；杰出的
clever,"adj. 聪明的；机灵的；熟练的
"
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
honest,adj. 诚实的，实在的；可靠的；坦率的
careful,adj. 仔细的，小心的
lazy,adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
stupid,"n. 傻瓜，笨蛋
adj. 愚蠢的；麻木的；乏味的"
shy,"n. 投掷；惊跳
adj. 害羞的；畏缩的，胆怯的
vi. 投；畏缩；惊退；厌恶
vt. 投；乱掷"
strict,adj. 严格的；绝对的；精确的；详细的
careless,adj. 粗心的；无忧无虑的；淡漠的
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
Pacific,
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
stone,"n. 石头；结石； 宝石
adj. 石的，石制的
vt. 向扔石块；用石头铺"
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
pollution,"n. 污染
污染物"
sea,n. 海；海洋；许多；大量
sand,"n. 沙；沙地；沙洲；沙滩；沙子
vt. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
vi. 被沙堵塞"
ice,"n. 冰；冰淇淋；矜持；（俚）钻石
adj. 冰的
vt. 冰镇；结冰
vi. 结冰"
environment,n. 环境，外界
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
vt. 把（电线） 接地；盖（土）；追赶入洞穴
vi. 躲进地洞"
pollute,vt. 污染；玷污；败坏
hill,n. 小山；丘陵；斜坡；山冈
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
nature,n. 自然；性质；本性；种类
sun,"n. 太阳
vt. 使晒
vi. 晒太阳"
sky,"n. 天空；顶点
vt. 把…投向空中；把…挂得过高
vi. 踢或击高空球；把桨叶翘得过高；飞涨"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
moon,"n. 月亮；月球；月光；卫星
vi. 闲荡；出神
vt. 虚度"
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
mountain,n. 山；山脉
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
forest,"n. 森林
vt. 植树于，使成为森林"
rock,"n. 岩石；摇滚乐；暗礁
vt. 摇动；使摇晃
vi. 摇动；摇晃"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
river,n. 河，江
earthquake,n. 地震；大动荡
snowy,adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的
winter,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬"
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
summer,"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天"
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
temperature,n. 温度；体温；气温；发烧
wet,"n. 雨天；湿气
adj.  潮湿的；有雨的
vt. 弄湿
vi. 变湿"
dry,"n. 干涸
adj. 干的；口渴的；枯燥无味的；禁酒的
vt. 把…弄干
vi. 变干"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
snow,"n. 雪，积雪；下雪
vt. 使纷纷落下；使变白
vi. 降雪"
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
shine,"vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光
vi. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
cloudy,adj. 多云的；阴天的；愁容满面的
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
windy,adj. 多风的，有风的；腹胀的；吹牛的
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
rainy,adj. 下雨的；多雨的
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
season,"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥"
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
today,"n. 今天；现今
adv. 今天；现今"
future,"n. 未来；前途；期货；将来时
adj. 将来的，未来的"
weekend,"n. 周末，周末休假；周末聚会
adj. 周末的，周末用的
vi. 度周末"
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
hour,n. 小时；钟头；课时；…点钟
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快"
January,n. 一月
February,n. 二月
March,
April,n. 四月
May,
June,n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）
July,n. 七月
August,
September,n. 九月
October,n.  十月
November,n. 十一月
December,n. 十二月
a.m.,abbr. 上午，午前（ante meridiem）
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
now,"adv. 现在；如今；立刻
adj. 现在的
n. 现在；目前
conj. 由于；既然"
tomorrow,"n. 明天；未来
adv. 明天；未来地（等于to-morrow）"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
yesterday,"n. 昨天；往昔
adv. 昨天"
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
noon,n. 中午；正午；全盛期
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
weekday,n. 平日，普通日；工作日
month,n. 月，一个月的时间
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
past,"n. 过去；往事
prep. 越过；晚于
adj. 过去的；结束的
adv. 过；经过"
minute,"n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录
vt. 将…记录下来
adj. 微小的，详细的 "
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
early,"adj. 早期的；早熟的
adv. 提早；在初期"
morning,n. 早晨；黎明；初期
tonight,"n. 今晚
adv. 在今晚"
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
week,n. 周，星期
Sunday,n. 星期日；礼拜日
Monday,n. 星期一
Tuesday,n. 星期二
Wednesday,n. 星期三
Thursday,n. 星期四
Friday,n. 星期五
Saturday,n. 星期六
afternoon,n. 午后，下午
o'clock,abbr. …点钟（等于of the clock）
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
recently,adv. 最近；新近
usually,adv. 通常，经常
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
century,n. 世纪，百年；（板球）一百分
BC,abbr. 公元前（Before Christ）
AD,
everyday,"n. 平时；寻常日子
adj. 每天的，日常的"
p.m.,
left,"adj. 左边的；左派的；剩下的
adv. 在左面
n. 左边；左派；激进分子
v. 离开（leave的过去式）"
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
here,"n. 这里
adv. 在这里；此时
int. 嘿！；喂！"
northern,"adj. 北部的；北方的
n. 北部方言"
west,"n. 西；西方；西部
adj. 西方的；朝西的
adv. 在西方；向西方；自西方"
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
southern,"n. 南方人
adj. 南的；南方的"
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
above,"prep. 超过；在……上面；在……之上
n. 上文
adj. 上文的
adv. 在上面；在上文"
south,"n. 南方，南边；南部
adj. 南的，南方的
adv. 在南方，向南方"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
below,"prep. 在…下面
adv. 在下面，在较低处；在本页下面"
in,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里"
down,"prep. 沿着，往下
n. 软毛，绒毛； 开阔的高地
adj. 向下的
vt. 打倒，击败
adv. 向下，下去；在下面
vi. 下降；下去"
western,"n. 西方人；西部片，西部小说
adj. 西方的，西部的；有西方特征的"
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
north,
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点"
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
next,"adv. 然后；下次；其次
adj. 下一个的；其次的；贴近的
n. 下一个
prep. 靠近；居于…之后"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
eastern,"n. 东方人；（美国）东部地区的人
adj. 东方的；朝东的；东洋的"
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
between,"prep. 在…之间
adv. 在中间"
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
east,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方"
towards,prep. 朝，向；对于；有助于
middle,"adj. 中间的，中部的；中级的，中等的
n. 中间，中央；腰部"
direction,n. 方向；指导；趋势；用法说明
up,"prep. 在…之上；向…的较高处
n. 上升；繁荣
adj. 涨的；起床的；向上的
adv. 起来；上涨；向上"
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于"
there,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧"
tail,"n. 尾巴；踪迹；辫子；燕尾服
adj. 从后面而来的；尾部的
vt. 尾随；装上尾巴
vi. 跟踪；变少或缩小"
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
rabbit,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔"
pet,"n. 宠物；生气；受宠爱的人
adj. 宠爱的
vt. 宠爱
vi. 生气；爱抚"
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
panda,n. 熊猫；猫熊
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
pig,"n. 猪；猪肉
vi. 生小猪；像猪一样过活
n. 警察（俚语，带有攻击性）"
lion,n. 狮子；名人；勇猛的人；社交场合的名流
cat,n. 猫，猫科动物
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
wood,"n. 木材；木制品；树林
vt. 植林于；给…添加木柴
vi. 收集木材"
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人"
elephant,n. 象；大号图画纸
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
ant,n. 蚂蚁
rose,"n. 玫瑰；粉红色；蔷薇（花）；粉红色的葡萄酒
adj. 玫瑰花的；玫瑰色的；粉红色的；带有玫瑰香味的
vt. 使成玫瑰色，使（面颊）发红；使有玫瑰香味
vi. 起义( rise的过去式)；升起；（数量）增加；休会"
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
sheep,n. 羊，绵羊；胆小鬼
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树"
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
tiger,n. 老虎；凶暴的人
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
dog,"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随"
giraffe,n. 长颈鹿
animal,"n. 动物
动物的"
hen,n. 母鸡；女人；雌禽
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
technology,n. 技术；工艺；术语
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
invent,vt. 发明；创造；虚构
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
invention,n. 发明；发明物；虚构；发明才能
science,n. 科学；技术；学科；理科
television,n. 电视，电视机；电视业
computer,n. 计算机；电脑；电子计算机
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
camera,n. 照相机；摄影机
keyboard,"n. 键盘
vt. 键入；用键盘式排字机排字
vi. 用键盘进行操作；作键盘式排字机排字"
Internet,
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
radio,"n. 收音机；无线电广播设备
vt. 用无线电发送
vi. 用无线电进行通信"
telephone,"n. （美）电话；电话机；电话耳机
vt. 打电话给…
vi. 打电话"
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
policewoman,n. 女警察；女警官
policeman,n. 警察，警员； 淀帚（橡皮头玻璃搅棒）
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
director,n. 主任，主管；导演；人事助理
scientist,n. 科学家
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工"
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
actor,n. 男演员；行动者；作用物
player,n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器
writer,n. 作家；作者
worker,n. 工人；劳动者；职蚁
office,n. 办公室；政府机关；官职；营业处
boss,"n. 老板；首领；工头
vt. 指挥，调遣；当…的领导
vi. 当首领，发号施令"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
musician,n. 音乐家
officer,"n. 军官，警官；公务员，政府官员；船长
vt. 指挥"
