ban,"n. 禁令，禁忌
vt. 禁止，取缔"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
absence,n. 没有；缺乏；缺席；不注意
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
conspire,"vi. 共谋；协力
vt.  密谋策划"
predecessor,n. 前任，前辈
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
defence,n. 防御；防卫；答辩；防卫设备
accountable,adj. 有责任的；有解释义务的；可解释的
doctrine,n. 主义；学说；教义；信条
flexibility,n. 灵活性；弹性；适应性
shareholder,n. 股东；股票持有人
circulation,n. 流通，传播；循环；发行量
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
proportionality,n. 相称；均衡；比例性
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
humanity,n. 人类；人道；仁慈；人文学科
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
traceable,adj. 起源于；可追踪的；可描绘的
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
comprehend,vt. 理解；包含；由…组成
implicit,adj. 含蓄的；暗示的；盲从的
utterance,n. 表达；说话；说话方式
indicate,vt. 表明；指出；预示；象征
comprehension,n. 理解；包含
assimilation,n. 同化；吸收； 同化作用
invite,"n. 邀请
vt. 邀请，招待；招致"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
retrieval,n. 检索；恢复；取回；拯救
timeless,adj. 永恒的；不受时间影响的；不合时宜的
pointless,adj. 无意义的；钝的；不尖的；不得要领的
overlapping,"adj. 重叠；覆盖
v. 与…重叠；盖过（overlap的ing形式）"
reading,"n. 阅读，朗读；读物；读数
v. 阅读（read的ing形式）
adj. 阅读的"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
agenda,n. 议程；日常工作事项；日程表
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
counterbalance,"n. 平衡力；自动抵销
vt. 使平衡；抵消"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
literacy,n. 读写能力；精通文学
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
wandering,"n. 闲逛；离题；神志恍惚
v. 漫游；闲逛（wander的ing形式）
adj. 流浪的；漫游的，徘徊的；蜿蜒的"
diverse,adj. 不同的；多种多样的；变化多的
motivation,n. 动机；积极性；推动
wilderness,n. 荒地；大量，茫茫一片
uncharted,adj. 未知的；图上未标明的
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
modify,"vt. 修改，修饰；更改
vi. 修改"
trait,n. 特性，特点；品质；少许
of necessity,"na. 必然；不得已；不可避免地
 必然地；必定；无法避免地"
projection,n. 投射；规划；突出；发射；推测
successive,adj. 连续的；继承的；依次的；接替的
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
shipload,n. 船货；船舶运载量
thriving,"adj. 繁荣的；蒸蒸日上的；旺盛的
v. 兴旺（thrive的ing形式）"
allot,vt. 分配；拨给；分派
unbearably,adv. 不堪忍受地；无法容忍地
inexpressible,adj. 不可言传的；难以形容的；不能用语言表达的
relief,n. 救济；减轻，解除；安慰；浮雕
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
dense,adj. 稠密的；浓厚的；愚钝的
abundant,adj. 丰富的；充裕的；盛产
lumber,"vi. 伐木；喧闹地向前走；笨重地行动，缓慢地移动
vt. 砍伐木材；乱堆
n. 木材；废物，无用的杂物；隆隆声"
potash,n.  碳酸钾；草碱；苛性钾；钾化合物
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
naval stores,"na. 松脂(制品)；海军补给品
 松脂类制品；海军军需品；松脂制品"
spouse,"n. 配偶
vt. 和…结婚"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
matchmaker,n. 媒人；安排比赛的人；火柴制造者
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
sermon,"n. 布道；训诫；启示；冗长的讲话
vt. 对…布道；对…说教
vi. 布道"
blessing,"n. 祝福；赐福；祷告
v. 使幸福（bless的ing形式）；使神圣化；为…祈神赐福"
threads,"n.  线；线程（thread的复数）；相关串连
v. 穿线于；穿过（thread的第三人称单数形式）"
soaked,"v. 浸湿（soak的过去分词）
adj. 湿透的，浸透的"
disapproval,n. 不赞成；不喜欢
retain,vt. 保持；雇；记住
property,n. 性质，性能；财产；所有权
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
ultra,"n. 极端主义者；过激论者；急进论者
adj. 极端的；过分的"
incite,vt. 煽动；激励；刺激
excessive,adj. 过多的，极度的；过分的
uplifting,adj. 令人振奋的；使人开心的
impinge,"vi. 撞击；侵犯
vt. 撞击"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
enforce,vt. 实施，执行；强迫，强制
arbiter,n.  仲裁者；裁决人
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
intangible,adj. 无形的，触摸不到的；难以理解的
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
physique,n. 体格，体形
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
punishment,n. 惩罚；严厉对待，虐待
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
adornment,n. 装饰；装饰品
idealize,"vt. 使理想化；理想化地描述
vi. 理想化；形成思想"
enforcement,n. 执行，实施；强制
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
compliance,n. 顺从，服从；承诺
persuasion,n. 说服；说服力；信念；派别
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
alongside,"prep. 在……旁边
adv. 在旁边"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
specifically,adv. 特别地；明确地
dweller,n. 居民，居住者
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
guardianship,n. 监护；监护人的责任
endorse,vt. 背书；认可；签署；赞同；在背面签名
sentiment,n. 感情，情绪；情操；观点；多愁善感
explicitly,adv. 明确地；明白地
priority,n. 优先；优先权； 优先次序；优先考虑的事
conservation,n. 保存，保持；保护
authorize,vt. 批准，认可；授权给；委托代替
profitable,adj. 有利可图的；赚钱的；有益的
likewise,adv. 同样地；也
discontinue,"vt. 停止；使中止
vi. 停止，中断"
council,n. 委员会；会议；理事会；地方议会；顾问班子
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
considered,adj. 经过深思熟虑的；被尊重的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
infrastructure,n. 基础设施；公共建设；下部构造
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
intrusion,n. 侵入；闯入
meadow,n. 草地；牧场
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
renovation,n. 革新；修理；恢复活力
renewal,n. 更新，恢复；复兴；补充；革新；续借；重申
out-of-town,adj. 外地的；位于市外的
biased,adj. 有偏见的；结果偏倚的，有偏的
retain,vt. 保持；雇；记住
enviable,adj. 值得羡慕的；引起忌妒的
coherence,n. 一致；连贯性；凝聚
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
corrupted,"adj. 腐败的；毁坏的；崩溃的
v. （使）腐败；（使）堕落（corrupt的过去分词）"
engage in,"na. 从事；参加
 参与；从事于；忙于"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
clear-cut,adj. 清晰的；轮廓鲜明的
monetary,adj. 货币的；财政的
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
corruption,n. 贪污，腐败；堕落
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
halo effect,"un. 光圈效应；光环效应
 晕轮效应；光晕效应；晕轮效果"
whereby,adv. 凭借；通过…；借以；与…一致
consideration,n. 考虑；原因；关心；报酬
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
differentiate,"vt. 区分，区别
vi. 区分，区别"
bribery,n.  贿赂；受贿；行贿
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
lenient,adj. 宽大的；仁慈的
penalty,n. 罚款，罚金；处罚
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
whereas,conj. 然而；鉴于；反之
eliminate,vt. 消除；排除
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
bank on,"na. 信赖
 指望；依赖；依靠"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
newsprint,n. 新闻用纸（等于newspaper）
nostalgia,n. 乡愁；怀旧之情；怀乡病
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
infrastructure,n. 基础设施；公共建设；下部构造
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
printing press,"n. 印刷机
 印刷厂；加压的印刷机；印刷术"
excessive,adj. 过多的，极度的；过分的
constraint,n.  约束；局促，态度不自然；强制
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
counterpart,n. 副本；配对物；极相似的人或物
revenue,n. 税收，国家的收入；收益
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
circulation,n. 流通，传播；循环；发行量
eliminate,vt. 消除；排除
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
transition,n. 过渡；转变； 转换；变调
discontinue,"vt. 停止；使中止
vi. 停止，中断"
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
foresighted,adj. 有先见之明的，深谋远虑的，能预料的
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
legacy,n. 遗赠，遗产
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
overpay,"vt. 多付；多给报酬
vi. 多付"
essentially,adv. 本质上；本来
generate,vt. 使形成；发生；生殖；产生物理反应
obsess,vt. 迷住，缠住；使…着迷；使…困扰
subscription,n. 捐献；订阅；订金；签署
tremendous,adj. 极大的，巨大的；惊人的；极好的
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
assess,vt. 评定；估价；对…征税
trustworthiness,n. 可信赖；确实性
likeability, 好感度；性；喜好度
solely,adv. 单独地，唯一地
era,n. 时代；年代；纪元
