precise,adj. 精确的；明确的；严格的
mountainous,adj. 多山的；巨大的；山一般的
separately,adv. 分别地；分离地；个别地
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
permission,n. 允许，许可
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里"
resemble,vt. 类似，像
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
sunburnt,"adj. 晒黑的；有晒斑的；日炙的
v. 晒黑（sunburn的过去式和过去分词）"
nationality,n. 国籍，国家；民族；部落
sweat,"n. 汗；水珠；焦急；苦差使
vt. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待
vi. 出汗；辛苦工作；懊恼；结水珠"
outcome,n. 结果，结局；成果
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
crossroads,n. 十字路口；交叉路口；聚会的中心地点（crossroad的复数形式）
reservation,n. 预约，预订；保留
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功"
gold,"n. 金，黄金；金色；金币
adj. 金的，金制的；金色的"
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
supermarket,n. 超级市场；自助售货商店
rainfall,n. 降雨；降雨量
chat,"n. 聊天；闲谈
vt. 与…搭讪；与…攀谈
vi. 聊天；闲谈"
division,n.  除法；部门；分配；分割；师（军队）；赛区
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
rag,"n. 破布；碎屑
vt. 戏弄；责骂
vi. 变破碎；穿着讲究"
musician,n. 音乐家
omelette,n. 煎蛋卷
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
handful,n. 少数；一把；棘手事
unhealthy,adj. 不健康的；危险的；有害身心健康的
motto,n. 座右铭，格言；箴言
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
academy,n. 学院；研究院；学会；专科院校
exit,"n. 出口，通道；退场
vi. 退出；离去"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
radioactive,adj.  放射性的；有辐射的
literature,n. 文学；文献；文艺；著作
deserve,"vi. 应受，应得
vt. 应受，应得"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
virtue,n. 美德；优点；贞操；功效
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起"
dessert,n. 餐后甜点；甜点心
undertake,vt. 承担，保证；从事；同意；试图
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
guidance,n. 指导，引导；领导
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
criterion,n. （批评判断的）标准；准则；规范；准据
acquaintance,n. 熟人；相识；了解；知道
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
troublesome,adj. 麻烦的；讨厌的；使人苦恼的
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
quake,"vi. 震动；颤抖
n. 地震；颤抖"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
sailing,"n. 航行，航海；启航；航海术
v. 航行，起航（sail的现在分词形式）
adj. 航行的"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
hibernation,n. 冬眠；过冬；避寒
greeting,"n. 问候，招呼；祝贺
v. 致敬，欢迎（greet的现在分词）"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
deadline,n. 截止期限，最后期限
rely,vi. 依靠；信赖
peasant,n. 农民；乡下人
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
balcony,n. 阳台；包厢；戏院楼厅
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
roller,n.  滚筒； 滚轴；辊子；滚转机
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
foresee,vt. 预见；预知
unpleasant,adj. 讨厌的；使人不愉快的
disability,n. 残疾；无能；无资格；不利条件
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
outspoken,adj. 坦率的，直言不讳的
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
achievement,n. 成就；完成；达到；成绩
practical,adj. 实际的；实用性的
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
activity,n. 活动；行动；活跃
architect,"n. 建筑师
缔造者"
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
racial,adj. 种族的；人种的
generation,n. 一代；产生；一代人；生殖
ecology,n. 生态学；社会生态学
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
applicant,n. 申请人，申请者；请求者
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
warm-hearted,adj. 热心的（等于warmhearted）；热诚的
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
secondhand,"adj. 二手的；旧的；间接获得的；做旧货生意的
adv. 间接地；间接听来；以旧货"
opera,n. 歌剧；歌剧院；歌剧团
kindergarten,n. 幼儿园；幼稚园
insurance,n. 保险；保险费；保险契约；赔偿金
lantern,n. 灯笼；提灯；灯笼式天窗
dignity,n. 尊严；高贵
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
suffering,"n. 受难；苦楚
v. 受苦；蒙受（suffer的ing形式）
adj. 受苦的；患病的"
attention,n. 注意力；关心；立正！（口令）
assumption,n. 假定；设想；担任；采取
describe,vt. 描述，形容；描绘
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
consensus,n. 一致；舆论；合意
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
university,n. 大学；综合性大学；大学校舍
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
valley,n. 山谷；流域；溪谷
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
entrance,"n. 入口；进入
vt. 使出神，使入迷"
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
starvation,n. 饿死；挨饿；绝食
environment,n. 环境，外界
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
announcement,n. 公告；宣告；发表；通告
data,n. 数据（datum的复数）；资料
talent,n. 才能；天才；天资
belong,vi. 属于，应归入；居住；适宜；应被放置
communication,n. 通讯， 通信；交流；信函
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
hardly,adv. 几乎不，简直不；刚刚
electronic,"adj. 电子的
n. 电子电路；电子器件"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
ski,"n. 滑雪橇
vi. 滑雪
adj. 滑雪（用）的"
agriculture,n. 农业；农耕；农业生产；农艺，农学
workplace,n. 工作场所；车间
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
scientific,adj. 科学的，系统的
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
tractor,n. 拖拉机；牵引机
occur,vi. 发生；出现；存在
technology,n. 技术；工艺；术语
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
confident,adj. 自信的；确信的
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
sunlight,n. 日光
beneficial,adj. 有益的，有利的；可享利益的
vocabulary,n. 词汇；词表；词汇量
shine,"vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光
vi. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
curriculum,"n. 课程
总课程"
composition,n. 作文，作曲，作品； 构成；合成物；成分
grey,"n. 灰色
adj. 灰色的；灰白的
vt. 使变成灰色；使变老
vi. 变成灰色；老化"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
sidewalk,n. 人行道
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
cigarette,n. 香烟；纸烟
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
application,n. 应用；申请；应用程序；敷用
amaze,vt. 使吃惊
furniture,n. 家具；设备；储藏物
conductor,n. 导体；售票员；领导者；管理人
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
