abnormal,adj. 反常的，不规则的；变态的
conservation,n. 保存，保持；保护
conversion,n. 转换；变换； 兑换；改变信仰
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
cooperate,vi. 合作，配合；协力
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
deaf,adj. 聋的
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
dean,n. 院长；系主任；教务长；主持牧师
deed,"n. 行动；功绩；证书； 契据
vt. 立契转让"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
deer,n. 鹿
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
defend,"vi. 保卫；防守
vt. 辩护；防护"
deprive,vt. 使丧失，剥夺
derive,"vt. 源于；得自；获得
vi. 起源"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
despise,vt. 轻视，鄙视
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
detach,vt. 分离；派遣；使超然
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
detain,vt. 拘留；留住；耽搁
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
digital,"n. 数字；键
adj. 数字的；手指的"
dignity,n. 尊严；高贵
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
eager,adj. 渴望的；热切的；热心的
eagle,n. 鹰；鹰状标饰
embarrass,vt. 使局促不安；使困窘；阻碍
embassy,n. 大使馆；大使馆全体人员
embody,vt. 体现，使具体化；具体表达
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
endorse,vt. 背书；认可；签署；赞同；在背面签名
endow,vt. 赋予；捐赠；天生具有
engine,n. 引擎，发动机；机车，火车头；工具
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
entire,adj. 全部的，整个的；全体的
entitle,vt. 称做…；定名为…；给…称号；使…有权利
entity,n. 实体；存在；本质
equip,vt. 装备，配备
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
ethnic,adj. 种族的；人种的
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
expectation,n. 期待；预期；指望
expedition,n. 远征；探险队；迅速
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
factory,n. 工厂；制造厂；代理店
faculty,n. 科，系；能力；全体教员
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
powder,"n. 粉；粉末； 火药；尘土
vt. 使成粉末；撒粉；搽粉于
vi. 搽粉；变成粉末"
precious,adj. 宝贵的；珍贵的；矫揉造作的
precise,adj. 精确的；明确的；严格的
premier,"n. 总理，首相
adj. 第一的；最初的"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
recede,"vi. 后退；减弱
vt. 撤回"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
propel,vt. 推进；驱使；激励；驱策
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
property,n. 性质，性能；财产；所有权
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
protect,vt. 保护，防卫；警戒
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
province,n. 省；领域；职权
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
quantity,n. 量，数量；大量；总量
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
quilt,"n. 被子；棉被
vt. 东拼西凑地编；加软衬料后缝制
vi. 缝被子"
guilt,n. 犯罪，过失；内疚
quota,n. 配额；定额；限额
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
reap,"vt. 收获，获得；收割
vi. 收割，收获"
recipe,n. 食谱； 处方；秘诀；烹饪法
receipt,"n. 收到；收据；收入
vt. 收到"
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
receive,"vt. 收到；接待；接纳
vi. 接收"
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
abundant,adj. 丰富的；充裕的；盛产
reed,"n.  芦苇；簧片；牧笛；不可依靠的人
vt. 用芦苇盖；用芦苇装饰"
reel,"n. 蹒跚；眩晕；旋转
vt. 卷；使旋转
vi. 卷；眩晕；蹒跚地走；退缩"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
refute,vt. 反驳，驳斥；驳倒
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
eject,vt. 喷射；驱逐，逐出
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
comedy,n. 喜剧；喜剧性；有趣的事情
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
repel,vt. 击退；抵制；使厌恶；使不愉快
expel,vt. 驱逐；开除
resident,"n. 居民；住院医生
adj. 居住的；定居的"
president,n. 总统；董事长；校长；主席
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
restrain,vt. 抑制，控制；约束；制止
constrain,vt. 驱使；强迫；束缚
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
rib,"n. 肋骨；排骨；肋状物
vt. 戏弄；装肋于"
rid,vt. 使摆脱；使去掉
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于"
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
rod,n. 棒；惩罚；枝条；权力
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
rug,n. 小地毯；毛皮地毯；男子假发
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
situate,"adj. 位于…的
vt. 使位于；使处于"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
scene,n. 场面；情景；景象；事件
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
scout,"n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
seam,"n. 缝；接缝
vt. 缝合；接合；使留下伤痕
vi. 裂开；产生裂缝"
ream,"n. 令（纸张的计数单位）；大量
vt. 榨取（果汁等）；扩展；挖"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
sleeve,"n.  套筒， 套管；袖子， 袖套
vt. 给……装袖子；给……装套筒"
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种"
tow,"n. 拖；麻的粗纤维；拖曳所用之绳
vt. 拖；牵引；曳
vi. 被拖带；拖行"
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
stale,"n. 尿
adj. 陈腐的；不新鲜的
vt. 使变旧；变得不新鲜
vi. 变陈旧；撒尿；变得不新鲜"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
status,n. 地位；状态；情形；重要身份
statute,n.  法规；法令；条例
stature,n. 身高，身材；（精神、道德等的）高度
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
