fray,"n. 争论；打架；磨损处
vt. 使磨损；变得令人紧张、急躁
vi. 被磨损"
hypermarket,n. 大规模超级市场
hypertension,n. 高血压；过度紧张
hyphenate,"n. 归化的美国公民
vt. 用连字符号连接"
hypnosis,n. 催眠；催眠状态
hypnotic,"n. 安眠药；催眠状态的人
adj. 催眠的，催眠术的；易于催眠的"
hypnotism,n. 催眠术；催眠状态
hypodermic,"n. 皮下注射；皮下注射器
adj. 皮下的"
hypotenuse,n. 直角三角形的斜边
hypothesis,n. 假设
icebox,n. 冰箱；冷藏库
icebreaker,n. 碎冰船；破冰设备
icicle,n. 冰柱；垂冰；冷冰冰的人
icing,"n. 结冰；糖衣；酥皮
v. 冰冻（ice的ing形式）"
icon,n. 图标；偶像；肖像，画像；圣像
idiosyncrasy,n. （个人独有的）气质，性格，习惯，癖好
idolatry,n. 偶像崇拜；盲目崇拜；邪神崇拜
idolise,vi. 把…当偶像崇拜; 崇拜偶像; 过度崇拜; 偶像化
idolize,"vt. 极端崇拜；把...当偶像崇拜
vi. 崇拜偶像"
idyllic,"牧歌的
田园诗的
悠闲的"
ignition,n. 点火，点燃；着火，燃烧；点火开关，点火装置
ignoble,adj. 不光彩的；卑鄙的；卑贱的
ignominy,n. 耻辱；不体面；丑行
illegible,adj. 难辨认的；字迹模糊的
illegitimate,"n. 非嫡出子；庶子
adj. 私生的；非法的；不合理的
vt. 认做私生子；认为违法"
illicit,adj. 违法的；不正当的
illustrator,n. 插图画家；说明者；图解者
illustrious,adj. 著名的，杰出的；辉煌的
imbecility,n. 愚钝；低能；愚蠢的行为，言语等
immaculate,adj. 完美的；洁净的；无瑕疵的
immaterial,adj. 非物质的；无形的；不重要的；非实质的
immerse,vt. 沉浸；使陷入
immobile,adj. 固定的；稳定的；不变的
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
immunize,vt. 使免疫；赋予免疫性
impair,vt. 损害；削弱；减少
impale,vt. 刺穿；钉住；使绝望
impart,vt. 给予（尤指抽象事物），传授；告知，透露
impassioned,"adj. 充满激情的；感激的
v. 使充满激情（impassion的过去式和过去分词）"
impassive,adj. 冷漠的；无感觉的
impenetrable,adj. 不能通过的；顽固的；费解的；不接纳的
imperceptible,adj. 感觉不到的；极细微的
imperil,vt. 危及；使陷于危险
impersonate,vt. 扮演；模仿；拟人，人格化
impertinent,adj. 不恰当的；无礼的；粗鲁的；不相干的
impetuous,adj. 冲动的；鲁莽的；猛烈的
impetus,n. 动力；促进；冲力
impious,adj. 不虔诚的；不孝的；不敬的
implacable,adj. 不能安抚的；难和解的；不能缓和的
implore,"vt. 恳求或乞求
vi. 恳求或乞求"
impostor,n. 骗子；冒充者
impound,vt. 没收；拘留；将…关在圈中
impregnable,adj. 无法攻取的；不受影响的；要塞坚固的；不可受孕的
impregnate,"adj. 充满的；怀孕的
vt. 使怀孕；灌输；浸透"
impressionable,adj. 敏感的；易受影响的
imprint,"n. 印记；痕迹；特征；版本说明
vt. 加特征；刻上记号"
inanimate,adj. 无生命的；无生气的
inarticulate,adj. 口齿不清的；说不出话的； 无关节的
inbuilt,adj. 内置的；内藏的；嵌入的
incarnate,"adj. 化身的；人体化的；肉色的
vt. 体现；使…具体化；使实体化"
incendiary,"n. 燃烧弹；纵火犯，放火者；煽动者
adj. 煽动的；放火的，纵火的"
incensed,"adj. 愤怒的，激怒了的
v. 激怒（incense的过去分词）"
incest,n. 乱伦；近亲通婚
incinerate,"vt. 焚化；烧成灰
vi. 把……烧成灰；烧弃"
incisive,adj. 深刻的；敏锐的；锋利的
incite,vt. 煽动；激励；刺激
incoherent,adj. 语无伦次的；不连贯的；不合逻辑的
incoming,"n. 进入；到来；常作 incomings 收入，收益
adj. 进来的，到来的； 即将就任的"
inconceivable,adj. 不可思议的；难以置信的；不能想象的；非凡的
incontrovertible,adj. 无可争议的；无疑的；明白的
incredulous,adj. 怀疑的；不轻信的
incubate,"n. 孵育物
vt. 孵化；培养；温育；逐渐发展
vi. 孵化；酝酿"
incubation,n. 孵化； 潜伏；抱蛋
incubator,n.  孵卵器； 保温箱；早产儿保育器；细菌培养器
incur,vt. 招致，引发；蒙受
incursion,n. 入侵；侵犯
indecision,n. 优柔寡断；犹豫不决
indelible,adj. 难忘的；擦不掉的
indemnify,vt. 赔偿；保护；使免于受罚
indemnity,n. 补偿，赔偿；保障；赔偿物
in-depth,adj. 彻底的，深入的
indeterminate,adj. 不确定的；模糊的；含混的
indict,vt. 控告，起诉； 揭发
indigestion,n. 消化不良；不消化
indigo,"n. 靛蓝，靛蓝染料；靛蓝色；槐蓝属植物
adj. 靛蓝色的"
indiscreet,adj. 轻率的；不慎重的
indiscriminate,adj. 任意的；无差别的；不分皂白的
indisposed,"adj. 不舒服的；不愿意的；不合适的
v. 使厌恶，使不适当，使不能（indispose的过去式）"
indisputable,adj. 明白的；无争论之余地的
indistinguishable,adj. 不能区别的，不能辨别的；不易察觉的
indoctrinate,vt. 灌输；教导
indolent,adj. 懒惰的；无痛的
indubitable,adj. 不容置疑的；明确的
induct,vt. 引导；感应；使…就职；征召入伍
ineffectual,"n. 无用的人；无一技之长者
adj. 无效的，不起作用的；徒劳无益的"
ineluctable,adj. 不可避免的；无法逃避的
inept,adj. 笨拙的；不适当的
inescapable,adj. 不可避免的；逃脱不了的
inestimable,adj. 无价的；难以估计的
inexhaustible,adj. 用不完的；不知疲倦的
infallible,"n. 永远正确的人；绝无谬误的事物
adj. 绝对可靠的；绝无错误的"
infantile,adj. 婴儿的；幼稚的；初期的
infantry,n. 步兵；步兵团
infatuated,"adj. 入迷的；昏头昏脑的
v. 迷恋；使糊涂（infatuate的过去分词）"
infatuation,n. 迷恋；醉心
infernal,adj. 地狱的；恶魔的；可憎的
infighting,"n. 暗斗；混战；接近战
v. 暗斗（infight的ing形式）；近击"
infiltrate,"n. 渗透物
vi. 渗入
vt. 使潜入；使渗入，使浸润"
infirm,adj. 衰弱的；意志薄弱的；不坚固的
infirmity,n. 虚弱；疾病；衰弱；缺点
inflame,"vt. 激怒；使燃烧；使发炎
vi. 燃烧；发炎；激动"
inflamed,"adj. 发炎的；红肿的
v. 使发炎（inflame的过去分词）；使燃烧；使火红；激起"
inflammable,"n. 易燃物
adj. 易燃的；易怒的；易激动的"
inflammation,n.  炎症； 发炎；燃烧；发火
inflammatory,adj. 炎症性的；煽动性的；激动的
inflection,n. 弯曲，变形；音调变化
inflexible,adj. 顽固的；不可弯曲的；不屈挠的；不能转变的
infrared,"n. 红外线
adj. 红外线的"
infuse,"vt. 灌输；使充满；浸渍
vi. （茶叶、草药等）被泡"
ingenuous,adj. 天真的；坦白的；正直的；朴实的
inglorious,adj. 可耻的；不名誉的；不体面的
ingrained,"adj. 根深蒂固的；彻头彻尾的；生染的
v. 使根深蒂固（ingrain的过去分词形式）；生染；就原料染色"
ingratiate,vt. 使迎合；使讨好；使逢迎
ingratiating,adj. 逢迎的，讨好的；迷人的，吸引人的
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
injunction,n.  禁令；命令；劝告
injurious,adj. 有害的；诽谤的
inkling,"n. 暗示；略知；模糊概念
v. 暗示 （inkle的ing形式）；略知；低声说出"
inlaid,"adj. 镶嵌的；嵌入的；镶饰的
v. 把…镶入；用镶嵌物装饰（inlay的过去分词形式）"
inmost,adj. 心底的，内心深处的；最深的
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
inoffensive,adj. 不触犯人的；无害的；没恶意的
inordinate,adj. 过度的；无节制的；紊乱的
inquisition,n. 调查；宗教法庭；审讯
insanity,n. 疯狂；精神错乱；精神病；愚顽
insatiable,adj. 贪得无厌的；不知足的
inset,"n. 插图，插页；插入物
vt. 嵌入；插入"
insipid,adj. 清淡的；无趣的
insofar,adv. 在…的范围；在…情况下
insoluble,adj. 不能解决的； 不能溶解的；难以解释的
insomnia,n. 失眠症，失眠
insomniac,n. 失眠症患者
instantaneous,adj. 瞬间的；即时的；猝发的
instep,n. 脚背；背部；脚背形的东西
insulate,vt. 隔离，使孤立；使绝缘，使隔热
insuperable,adj. 不能克服的；无敌的
insurgent,"n. 叛乱者；起义者
adj. 叛乱的；起义的"
insurmountable,adj. 不能克服的；不能超越的；难以对付的
intake,n. 摄取量；通风口；引入口；引入的量
intangible,adj. 无形的，触摸不到的；难以理解的
integer,n.  整数；整体；完整的事物
intelligible,adj. 可理解的；明了的；仅能用智力了解的
interdependent,adj. 相互依赖的；互助的
interface,"n. 界面；<计>接口；交界面
v. （使通过界面或接口）接合，连接；使联系
vi. 相互作用（或影响）；交流，交谈"
interject,vt. 突然插入；插嘴
interjection,n.  感叹词；插入语；突然的发声
interlocutor,n. 对话者；谈话者
interloper,n. 闯入者；（为私利）干涉他人事务者；无执照营业者
interlude,"n. 插曲；穿插；幕间节目； 插算
vt. 使中断
vi. 插入"
intermediary,"n. 中间人；仲裁者；调解者；媒介物
adj. 中间的；媒介的；中途的"
interment,n. 葬礼；埋葬
interminable,adj. 冗长的；无止尽的
interplay,"n. 相互影响，相互作用
vi. 相互影响，相互作用"
interrogate,"vt. 审问；质问； 询问
vi. 审问；质问"
intestinal,adj. 肠的
intimacy,n. 性行为；亲密；亲昵行为；隐私
intimidate,vt. 恐吓，威胁；胁迫
intoxicant,"n. 使醉的东西
adj. 使醉的，醉人的"
intoxicate,"vt. 使陶醉；使喝醉；使中毒
vi. 醉"
intractable,adj. 棘手的；难治的；倔强的；不听话的
intransigent,"n. 不妥协的人
adj. 不妥协的；不让步的"
intransitive,"n. 不及物动词
adj. 不及物的"
intrepid,adj. 无畏的；勇敢的；勇猛的
intricacy,n. 错综，复杂；难以理解
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
intriguing,"adj. 有趣的；迷人的
v. 引起…的兴趣；策划阴谋；私通（intrigue的ing形式）"
introspection,n. 内省；反省
introvert,"n. 内向的人；内翻的东西
vi. 成为内弯；成为性格内向的人
vt. 使内向；使内倾；使内弯"
intrusive,adj. 侵入的；打扰的
intuition,n. 直觉；直觉力；直觉的知识
intuitive,adj. 直觉的；凭直觉获知的
invalidate,vt. 使无效；使无价值
inveterate,adj. 根深的；积习的；成癖的
invidious,adj. 诽谤的；不公平的；引起反感的；易招嫉妒的
invigilate,"vt. 监考
vi. 监考；看守"
invigilator,n. 监考人； 监视器
invincible,adj. 无敌的；不能征服的
invocation,n. 祈祷；符咒；(法院对另案的)文件调取；(法权的)行使
invoice,"n. 账单，发货单，收款请求
vt. 开发票；记清单"
invulnerable,adj. 无懈可击的；不会受伤害的
iodide,n. 碘负离子
iodine,n. 碘；碘酒
ion,n.  离子
irascible,adj. 易怒的
irk,vt. 使烦恼；使厌倦
irksome,adj. 令人厌烦的，讨厌的；令人厌恶的
irradiate,"adj. 发光的
vt. 照耀；使灿烂；启发；放射；使某物生辉
vi. 照射"
irreconcilable,adj. 矛盾的；不能和解的；不能协调的
irreducible,adj.  不可约的；不能削减的；不能复归的
irreparable,adj. 不能挽回的；不能修补的
irrepressible,adj. 抑制不住的；压服不了的
irrespective,adj. 无关的；不考虑的；不顾的
irretrievable,adj. 不能弥补的；不能复原的；无法挽救的
irreverent,adj. 不敬的，无礼的
irreversible,adj. 不可逆的；不能取消的；不能翻转的
irrevocable,adj. 不可改变的；不能取消的；不能挽回的
irritant,"n.  刺激物， 刺激剂
adj. 刺激的；刺激性的"
irruption,n. 闯入，侵入；激剧繁殖
isotherm,n.  等温线
isothermal,"n. 等温线
adj. 等温的；等温线的"
isotope,n. 同位素
issuance,n. 发布，发行
itch,"n. 痒；渴望；疥疮
vi. 发痒；渴望
vt. 使发痒；使恼怒"
itemise,vt. 列出清单
itemize,vt. 逐条列记
itinerant,"n. 巡回者；行商
adj. 巡回的；流动的"
ivy,"n. 常春藤
adj. 常春藤联盟的"
jack-in-the-box,n. 玩偶盒
jack-of-all-trades,
jade,"n. 翡翠； 碧玉；老马
adj. 玉制的；绿玉色的
vt. 使疲倦
vi. 疲倦"
jagged,"adj. 锯齿状的；参差不齐的
v. 使成缺口；使成锯齿状（jag的过去式）"
janitor,"n. 看门人；守卫；门警
n. 清洁工"
jargon,n. 行话，术语；黄锆石
jasmine,n. 茉莉；淡黄色
javelin,n. 标枪，投枪
jaywalk,vi. 乱穿马路（不遵守交通规则）
jellyfish,n. 水母； 海蜇；软弱无能的人
jeopardize,vt. 危害；使陷危地；使受危困
jerky,"adj. 抽筋的；急动的；不平稳的
n. 牛肉干"
jetty,"n. 码头；防波堤
adj. 乌黑发亮的，煤玉似的
vi. 伸出"
jigsaw,"n. 拼图玩具；线锯；镂花锯
vt. 用线锯锯"
jingle,"n. 叮当声；节拍十分规则的简单诗歌
v. （使）叮当作响；具有简单而又引人注意的韵律"
jocular,adj. 爱开玩笑的；打趣的；滑稽的
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
joystick,n. 操纵杆， 控制杆
jumble,"n. 混乱；杂乱的一堆东西
vi. 混杂；搀杂
vt. 使混乱；搞乱"
jurisdiction,n. 司法权，审判权，管辖权；权限，权力
juror,n. 审查委员，陪审员
juxtapose,vt. 并列；并置
keel,"vt. 给…装龙骨；把…翻转
n. 龙骨；平底船；龙骨脊
vi. 翻倒；倾覆"
kennel,"n. 狗屋；养狗场； 阴沟；一群狗
vt. 把…关进狗舍；宿于狗舍
vi. 待在狗舍里"
kernel,n. 核心，要点； 内核；仁；麦粒，谷粒；精髓
kickoff,n. 开始；开球
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的"
kindred,"adj. 同类的；血缘的；同族的
n. 家族；相似；亲属关系"
kiwi,n. 猕猴桃；几维（一种新西兰产的无翼鸟）；新西兰人
knead,vt. 揉合，揉捏；按摩；捏制
knowhow,n. 诀窍，技巧；情报；实际的能力；专门技术
laborious,adj. 勤劳的；艰苦的；费劲的
lager,n. （美）贮藏啤酒（等于lager beer）
lagoon,n.  泻湖；环礁湖；咸水湖
lance,"n. 长矛；执矛战士；柳叶刀
vt. 以长矛攻击；用柳叶刀割开；冲进
vi. 急速前进"
languid,adj. 倦怠的；呆滞的；软弱无力的
lapse,n. (一时的) 走神，判断错误
laryngitis,n.  喉炎
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
lathe,"vt. 用车床加工
n. 车床；机床"
launderette,n. 自助洗衣店
lax,"n. 松元音；泻肚
adj. 松的；松懈的；腹泻的
adj. 不严格的；不严谨的"
layoff,n. 活动停止期间；临时解雇；操作停止；失业期
leek,n. 韭； 韭葱
leeway,n. 余地；风压差；偏航；落后
legalize,vt. 使合法化；公认；法律上认为…正当
legalise,vt. 使合法化（等于legalize）
legible,adj. 清晰的；易读的；易辨认的
lentil,n.  兵豆， 小扁豆
leprosy,n. 麻疯病；腐败
lesbian,"adj.  女同性恋的
n. 女同性恋者"
leukemia,n.  白血病
leverage,"n. 手段，影响力；杠杆作用；杠杆效率
v. 利用；举债经营"
lexical,adj. 词汇的； 词典的；词典编纂的
lexis,n. 词汇；词语
ligament,n. 韧带；纽带，系带
lighten,"vi. 减轻；发亮
vt. 使照亮；使轻松"
liken,vt. 比拟；把…比作
likeness,n. 相似，相像；样子，肖像；照片，画像；相似物
limelight,"n. 石灰光，石灰光灯；众人注目的中心
vt. 使显露头角，使受到注目"
lineage,n. 血统；家系， 世系
linesman,n. 巡线工人；前锋；架线工，线条员；巡边员
linguist,"n. 语言学家
学多种外语的人"
literate,"adj. 受过教育的；精通文学的
n. 学者"
liven,"vt. 使高兴，使快活
vi. 快活起来；活跃起来"
livid,adj. 铅色的；青灰色的；非常生气的
logistics,"n.  后勤；后勤学
物流"
logo,n. 商标，徽标；标识语
loin,n. 腰；腰部；腰肉
loll,"vi. 懒洋洋地倚靠
vt. 懒洋洋地倚靠"
longevity,n. 长寿，长命；寿命
longing,"n. 渴望，热望；憧憬
adj. 渴望的，极想得到的
v. 渴望（long的ing形式）"
lookout,n. 监视；监视哨；警戒；守望者；担心的事；前景
lop,"vt. 砍伐；剪去树枝
vi. 砍，删；闲荡；下垂
n. 剪下的树枝
adj. 垂下的"
lopsided,adj. 不平衡的，倾向一方的
louse,"n. 虱子；寄生虫；卑鄙的家伙
vt. 搞糟；清除（虱子）"
lousy,adj. 讨厌的；多虱的；污秽的；极坏的
lowbrow,"adj. 教养浅薄的；文化修养浅薄的
n. 教养浅薄的人"
lubricant,"n. 润滑剂；润滑油
adj. 润滑的"
lullaby,"n. 摇篮曲；催眠曲
vt. 唱摇篮曲使入睡"
luminous,adj. 发光的；明亮的；清楚的
lunacy,n. 精神失常；愚蠢的行为
lunge,"n. 刺；跃进；刺进；套马索
vt. 刺；戳；使前冲
vi. 刺；突进"
lurch,"n. 突然倾斜；蹒跚；挫折
vi. 倾斜；蹒跚
vt. 击败"
lush,"adj. 丰富的，豪华的；苍翠繁茂的
vi. 喝酒
n. 酒；酒鬼
vt. 饮"
lust,"n. 性欲；强烈的欲望
vi. 贪求，渴望"
luxuriant,adj. 繁茂的；丰富的；奢华的；肥沃的
