intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
misconception,n. 误解；错觉；错误想法
unreliable,adj. 不可靠的；靠不住的
workstation,n. 工作站
agenda,n. 议程；日常工作事项；日程表
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
depend,vi. 依赖，依靠；取决于；相信，信赖
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
groundless,adj. 无理由的
industry,n. 产业；工业；勤勉
literal,adj. 文字的；逐字的；无夸张的
oversize,"adj. 太大的；超大型的
n. 特大号"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
sex,"n. 性；性别；性行为；色情
vt. 引起…的性欲；区别…的性别"
untested,adj. 未经检验的； 未试验的
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
depict,vt. 描述；描画
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
misguided,"adj. 被误导的
v. 使入歧途（misguide的过去分词）"
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
booth,n. 货摊；公用电话亭
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
inequality,n. 不平等；不同；不平均
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
misinformation,n. 误报；错误的消息
overstep,vt. 逾越；超出…的限度
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
toil,"n. 辛苦；苦工；网；圈套
vt. 费力地做；使…过度劳累
vi. 辛苦工作；艰难地行进"
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
aghast,adj. 吓呆的，惊骇的；吃惊的
envisage,vt. 正视，面对；想像
human,"n. 人；人类
adj. 人的；人类的"
inescapably,adv. 逃不掉地
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
over-the-counter,adj. 不通过交易所而直接售给顾客的；不需处方可以出售的
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
upholstered,adj. 装上软垫的；经过布置的
adornment,n. 装饰；装饰品
app,
basic,"n. 基础；要素
adj. 基本的；基础的"
breakthrough,n. 突破；突破性进展
conveyor,n. 输送机， 传送机；传送带；运送者，传播者
dean,n. 院长；系主任；教务长；主持牧师
disassemble,vt. 拆开，解开；反汇编
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
fee,"n. 费用；酬金；小费
vt. 付费给……"
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
guardianship,n. 监护；监护人的责任
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
inexperienced,adj. 无经验的；不熟练的
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
nostalgia,n. 乡愁；怀旧之情；怀乡病
outgrow,vt. 过大而不适于；出生；长大成熟而不再
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
pollute,vt. 污染；玷污；败坏
recently,adv. 最近；新近
shine,"vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光
vi. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计"
south-western,adj. 西南的；位于西南方的
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
uncomfortable,adj. 不舒服的；不安的
win-win,adj. 双赢的；互利互惠的
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
insincere,adj. 不诚实的；虚假的
senate,n. 参议院，上院；（古罗马的）元老院
parity,n. 平价；同等；相等；胎次；分娩
quota,n. 配额；定额；限额
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
self-serving,adj. 自私自利的，自私的
intact,adj. 完整的；原封不动的；未受损伤的
jurisdiction,n. 司法权，审判权，管辖权；权限，权力
petrol,n. （英）汽油
restroom,n. 厕所；洗手间
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
undercut,"n. 底切；牛腰部下侧嫩肉；砍口；切球
vt. 廉价出售；较便宜的工资工作；从下边削球
vi. 底切"
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
flavour,"n. 香味；滋味
vt. 给……调味；给……增添风趣"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
laboratory,n. 实验室，研究室
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
mislead,vt. 误导；带错
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
worse,"n. 更坏的事；更恶劣的事
adj. 更坏的；更差的；更恶劣的（bad的比较级）；（病情）更重的（ill的比较级）
adv. 更糟；更坏；更恶劣地；更坏地"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
born,"v. 出世（bear的过去分词）
adj. 天生的"
deride,vt. 嘲笑；嘲弄
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
guesswork,n. 猜测；臆测；凭猜测所作之工作
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
misplace,vt. 放错地方；忘记把…放在什么地方；错误地信任某人
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
choose,"vt. 选择，决定
vi. 选择，挑选"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
own,"vt. 拥有；承认
vi. 承认
adj. 自己的；特有的
n. 自己的"
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
ideology,n. 意识形态；思想意识；观念学
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
hurry,"n. 匆忙，急忙
v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理"
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
top-down,adj.  自顶向下；组织管理严密的
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
airline,"n. 航空公司；航线
adj. 航线的"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
guilt,n. 犯罪，过失；内疚
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
vain,adj. 徒劳的；自负的；无结果的；无用的
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
misunderstand,vt. 误解；误会
rely,vi. 依靠；信赖
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
utopia,
president,n. 总统；董事长；校长；主席
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
maintain,vt. 维持；继续；维修；主张；供养
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
chromosome,n.  染色体（形容词chromosomal，副词chromosomally）
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
hysteria,n. 癔病，歇斯底里；不正常的兴奋
infirm,adj. 衰弱的；意志薄弱的；不坚固的
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
religion,n. 宗教；宗教信仰
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
archaeological,adj.  考古学的； 考古学上的
beginning,"n. 开始；起点
v. 开始；创建（begin的ing形式）"
Brexit, 英国退出欧盟
century,n. 世纪，百年；（板球）一百分
dearth,n. 缺乏；饥馑；粮食不足
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
enable,vt. 使能够，使成为可能；授予权利或方法
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
frequency,n. 频率；频繁
guideline,"n. 指导方针
参考"
housewife,n. 家庭主妇
infest,vt. 骚扰；寄生于；大批出没；大批滋生
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
maximal,adj. 最高的，最大的；最全面的
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
novelist,n. 小说家
path,n. 道路；小路；轨道
Polynesian,"n. 波利尼西亚人
adj. 波利尼西亚的；波利尼西亚人的"
recklessly,adv. 鲁莽地；不顾一切地
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
Spanish,"n. 西班牙语；西班牙人
adj. 西班牙的；西班牙人的；西班牙语的"
task,"n. 工作，作业；任务
vt. 分派任务"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
unworthy,adj. 不值得的；无价值的；不相称的
wasp-waist,
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
espionage,n. 间谍；间谍活动；刺探
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
shear,"n.  切变；修剪；大剪刀
vi. 剪；剪切；修剪
vt. 剪；修剪；剥夺"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
shelf,n. 架子；搁板；搁板状物；暗礁
townsfolk,n. 市民；镇民
alive,adj. 活着的；活泼的；有生气的
chunk,n. 大块；矮胖的人或物
low-level,adj. 低水平的；低级别的
mode,n. 模式；方式；风格；时尚
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
toxic,adj. 有毒的；中毒的
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
detach,vt. 分离；派遣；使超然
informal,adj. 非正式的；不拘礼节的；随便的；通俗的；日常使用的
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
cigar,n. 雪茄
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
lucre,n. 收益；钱财；利润
remind,vt. 提醒；使想起
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
