discrepancy,n. 不符；矛盾；相差
bury,vt. 埋葬；隐藏
bushy,adj. 浓密的；灌木茂密的；多毛的
butcher,"n. 屠夫
vt. 屠杀"
butler,n. 男管家；仆役长
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
by-product,n. 副产品；附带产生的结果；意外收获
byte,n. 字节；8位元组
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
cactus,n.  仙人掌
cadet,n. 幼子，次子；实习生；候补军官；陆海军官学校的学员
cadre,n. 干部；基础结构；骨骼
cafeteria,n. 自助餐厅
calcium,n.  钙
calculus,n.  结石；微积分学
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
caliber,n.  口径；才干；水准（等于calibre）；器量
calligraphy,n. 书法；笔迹
calorie,n. 卡路里（热量单位）
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
canary,n.  金丝雀；淡黄色
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
canine,"n. 犬； 犬齿
adj. 犬的；犬齿的；犬科的；似犬的"
cannery,n. 罐头工厂
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
canteen,n. 食堂，小卖部；水壶
Cantonese,"n. 广东人；广东话
adj. 广州的，广州人的"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
canyon,n. 峡谷
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
carcass,n. （人或动物的）尸体；残骸；（除脏去头备食用的）畜体
cardigan,n. 羊毛衫，开襟羊毛衫（等于cardigan sweater）
carnival,n. 狂欢节，嘉年华会；饮宴狂欢
carol,"n. 颂歌，赞美诗；欢乐之歌
vi. 欢乐地歌唱；唱耶诞颂歌
vt. 欢唱；歌颂"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
carrier,n.  载体；运送者；带菌者；货架
carton,"n. 纸板箱；靶心白点
vt. 用盒包装
vi. 制作纸箱"
cashier,"n. 出纳员；司库；收银员
vt. 解雇；抛弃"
casino,n. 俱乐部，赌场；娱乐场
cask,"n. 木桶，桶
vt. 装入桶内"
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
cataract,"n.  白内障；大瀑布；暴雨，洪水；奔流
vt. 倾注"
caterpillar,"adj. 有履带装置的
n.  毛虫；履带车"
cathedral,n. 大教堂
Catholic,
cauliflower,n. 花椰菜，菜花
cavalry,n. 骑兵；装甲兵；装甲部队
ceiling,n. 天花板；上限
celery,n.  芹菜
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
cellar,"n. 地窖；酒窖；地下室
vt. 把…藏入地窖"
cello,n. 大提琴
cellular,"n. 移动电话；单元
adj. 细胞的；多孔的；由细胞组成的"
celluloid,n. 赛璐珞；（美俚）电影（胶片）
Celsius,
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
cemetery,n. 墓地；公墓
census,"n. 人口普查，人口调查
vt. 实施统计调查"
centigrade,adj. 摄氏的； 摄氏温度的；百分度的
centimeter,n.  厘米； 公分
ceramic,"n. 陶瓷；陶瓷制品
adj. 陶瓷的；陶器的；制陶艺术的"
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
champagne,n. 香槟酒；香槟酒色
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
chap,"n. 小伙子；家伙；龟裂
vt. 使皲裂
vi. 皲裂"
chapel,"n. 小礼拜堂，小教堂；礼拜
adj. 非国教的"
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
charcoal,"n. 木炭；炭笔
vt. 用木炭画（过去式charcoaled，过去分词charcoaled，现在分词charcoaling，第三人称单数charcoals）"
chariot,"n. 二轮战车
vt. 驾驭（过去式charioted，过去分词charioted，现在分词charioting，第三人称单数chariots）
vi. 乘战车；驾驭战车"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
chasm,n. 峡谷；裂口；分歧；深坑
chauffeur,"n. 司机
vt. 开车运送
vi. 当汽车司机"
checklist,n. 清单；检查表；备忘录；目录册
checkout,n. 检验；签出；结账台；检出
checkpoint,n. 检查站，关卡
cheek,"n. 面颊，脸颊；臀部
vt. 无礼地向…讲话，对…大胆无礼"
chef,n. 厨师，大师傅
chemistry,n. 化学；化学过程
cheque,n. 支票
cherry,n. 樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
chest,n. 胸，胸部；衣柜；箱子；金库
chestnut,"n. 栗子；栗色； 栗树；栗色马
adj. 栗色的"
childish,adj. 幼稚的，孩子气的
chili,n. 红辣椒，辣椒
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
chord,n. 弦；和弦；香水的基调
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
Christ,"n. 基督；救世主
int. 天啊！"
chrysanthemum,n. 菊花
chunk,n. 大块；矮胖的人或物
cider,n. 苹果酒；苹果汁
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
circumference,n. 圆周；周长；胸围
circus,n. 马戏；马戏团
citizenship,n.  公民身份，公民资格；国籍；公民权
clam,"n. 蛤；沉默寡言的人；钳子
vi. 捞蛤；保持沉默，闭嘴不言"
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
clang,"n. 叮当声；铿锵声
vt. 使发铿锵声
vi. 发铿锵声"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
clause,n. 条款； 子句
clearway,n. 畅行道，超速道路
clergy,n. 神职人员；牧师；僧侣
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
clever,"adj. 聪明的；机灵的；熟练的
"
client,n.  客户；顾客；委托人
clinic,n. 临床；诊所
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
closure,"n. 关闭；终止，结束
vt. 使终止"
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
coalition,n. 联合；结合，合并
cobbler,n. 补鞋匠；工匠；冷饮料；脆皮水果馅饼
cobweb,"n. 蜘蛛网；蛛丝；圈套
vt. 使布满蛛网；使混乱"
cockroach,n.  蟑螂
cocktail,"n. 鸡尾酒；开胃食品
n. 混合物
adj. 鸡尾酒的"
coconut,n. 椰子；椰子肉
cod,abbr. 货到付款（cash on delivery）；货到收款（collect on delivery）；化学需氧量（chemical oxygen demand）
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
coffin,"n. 棺材
断送"
coil,"n. 线圈；卷
vt. 盘绕，把…卷成圈
vi. 成圈状"
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
collegiate,adj. 大学的；学院的；大学生的
colonel,n. 陆军上校
column,n. 纵队，列；专栏；圆柱，柱形物
coma,n.  昏迷； 彗形像差
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
combustion,n. 燃烧，氧化；骚动
comedian,n. 喜剧演员；滑稽人物
comet,n.  彗星
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
commerce,n. 贸易；商业；商务
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
committee,n. 委员会
commodity,n. 商品，货物；日用品
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
commonwealth,n. 联邦；共和国；国民整体
communism,n. 共产主义
communist,"n. 共产党员；共产主义者
adj. 共产主义的"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
concession,n. 让步；特许（权）；承认；退位
concubine,n. 妾；情妇；姘妇
cone,"n. 圆锥体，圆锥形； 球果
vt. 使成锥形"
congress,n. 国会；代表大会；会议；社交
conical,adj. 圆锥的；圆锥形的
conifer,n. 针叶树； 松柏科植物
conjunction,n. 结合； 连接词；同时发生
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
consonant,"n. 辅音；辅音字母
adj. 辅音的；一致的；和谐的"
constable,n. 治安官，巡警；警察
constellation,n.  星座；星群；荟萃；兴奋丛
constituency,n. （选区的）选民；支持者；（一批）顾客
consul,n. 领事；（古罗马的）两执政官之一
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
context,n. 环境；上下文；来龙去脉
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
convex,"n. 凸面体；凸状
adj. 凸面的；凸圆的"
corduroy,"n.  灯芯绒，楞条花布；灯芯绒裤子；用灯芯绒布制的衣服
adj. 灯芯绒做的；泥地上用木头铺排成的"
cork,"n. 软木橡树皮；瓶塞；软木塞
vt. 用瓶塞塞住"
cornea,n.  角膜
cornerstone,n. 基础；柱石；地基
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
corpse,n. 尸体
corridor,走廊
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
cosmic,adj. 宇宙的（等于cosmical）
cosmopolitan,"n. 四海为家者；世界主义者；世界各地都有的东西
adj. 世界性的；世界主义的，四海一家的"
cosmos,n. 宇宙；和谐；秩序；大波斯菊
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
cot,n. 简易床；小屋；轻便小床
cottage,n. 小屋；村舍；（农舍式的）小别墅
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
council,n. 委员会；会议；理事会；地方议会；顾问班子
counter drug,(在柜台出售的不需医生处方的)成药；戒瘾药物(使人戒掉海洛因、酒等成瘾性物质的药物)
coupon,n. 息票；赠券；联票； 配给券
courier,n. 导游；情报员，通讯员；送快信的人
courtyard,n. 庭院，院子；天井
cousin,n. 堂兄弟姊妹；表兄弟姊妹
cracker,n. 爆竹；饼干；胡桃钳；解密高手
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
crag,n. 峭壁；岩石碎块；颈；嗉囊
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
crate,"n. 板条箱；篓
vt. 将某物装入大木箱或板条箱中"
crayon,"n. 蜡笔，有色粉笔
vt. 以蜡笔作画，用颜色粉笔画"
craze,"n. 狂热
vt. 使发狂；使产生纹裂
vi. 发狂；产生纹裂"
creamy,adj. 奶油色的；乳脂状的；含乳脂的
crest,"n.  波峰；冠；山顶；顶饰
vi. 到达绝顶；形成浪峰"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
crib,"n. 婴儿床；栅栏；食槽
vi. 剽窃
vt. 拘禁，关入栅栏；抄袭"
crimson,"n. 深红色
adj. 深红色的
vt. 使变为深红色；脸红
vi. 变为深红色；脸红"
crocodile,n. 鳄鱼
crosscheck,"n. 多方面求证，反复查对
vt. 交叉核对，反复核对"
crossroads,n. 十字路口；交叉路口；聚会的中心地点（crossroad的复数形式）
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
crumb,"n. 面包屑，碎屑；少许
vt. 弄碎；捏碎"
crusade,"n. 改革运动；十字军东侵
vi. 加入十字军；从事改革运动"
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
crutch,"n. 拐杖；支柱；依靠；胯部
vt. 用拐杖支撑；支持"
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
cuff,"n. 袖口，裤子翻边；手铐；一巴掌
vt. 给…上袖口；用巴掌打；给…带上手铐
vi. 殴斗，拳击"
cuisine,n. 烹饪，烹调法
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
curriculum,"n. 课程
总课程"
curry,"n. 咖哩粉，咖喱；咖哩饭菜
vt. 用咖喱烧，给…加咖喱粉；梳刷；鞭打"
cursor,n. 光标；（计算尺的） 游标，指针
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
cyclist,n. 骑自行车的人
cyclone,n. 旋风； 气旋；飓风
cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
dagger,"n. 匕首，短剑
vt. 用剑刺"
database,n. 数据库，资料库
debut,"n. 初次登台；开张
vi. 初次登台"
deceased,"n. 死者； 被继承人
adj. 已故的
vi. 死亡（decease的过去式）"
decibel,n. 分贝
decimal,"n. 小数
adj. 小数的；十进位的"
deli,n. 熟食店； 熟食品（等于delicatessen）
delicatessen,n. 熟食；现成的食品
delta,n. （河流的）三角洲；德耳塔（希腊字母的第四个字）
delusion,n. 迷惑，欺骗；错觉；幻想
demerit,n. 缺点，短处；过失
democracy,n. 民主，民主主义；民主政治
democrat,n. 民主党人；民主主义者；民主政体论者
deodorant,"n. 除臭剂
adj. 除臭的；防臭的"
depopulate,"vt. 使人口减少
vi. 人口减少"
depot,"n. 仓库；停车场；航空站
adj. 药性持久的
vt. 把…存放在储藏处"
depreciation,n. 折旧；贬值
depth,n.  深度；深奥
deputy,"n. 代理人，代表
adj. 副的；代理的"
despot,n. 专制君主，暴君；独裁者
dessert,n. 餐后甜点；甜点心
destination,n. 目的地，终点
destructive,adj. 破坏的；毁灭性的；有害的，消极的
detergent,n. 清洁剂；去垢剂
device,n. 装置；策略；图案
diagram,"n. 图表；图解
vt. 用图解法表示"
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
dialog,n. 对话；会话
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
diameter,n. 直径
diarrhea,n. 腹泻，痢疾
diarrhoea,n. 腹泻
dice,"vt. 切成方块
n. 骰子
vi. 掷骰子"
dichotomy,n. 二分法；两分；分裂；双歧分枝
diction,n. 用语；措词
dictum,n. 格言；声明；法官的附带意见
didactic,adj. 说教的；教诲的
diesel,"n. 柴油机；柴油；（俚）健康的身体
adj. 内燃机传动的；供内燃机用的
n. 迪赛（意大利时装品牌）"
